region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0001,0.45740338638222444,scr2003,avaConv,runOfRiver
al,h0002,0.5184308609540347,scr2003,avaConv,runOfRiver
al,h0003,0.5769597294989355,scr2003,avaConv,runOfRiver
al,h0004,0.6859147658237724,scr2003,avaConv,runOfRiver
al,h0005,0.689141760432297,scr2003,avaConv,runOfRiver
al,h0006,0.6056699271432987,scr2003,avaConv,runOfRiver
al,h0007,0.4668456090958326,scr2003,avaConv,runOfRiver
al,h0008,0.381272233299842,scr2003,avaConv,runOfRiver
al,h0009,0.36532759667376413,scr2003,avaConv,runOfRiver
al,h0010,0.3605876582435329,scr2003,avaConv,runOfRiver
al,h0011,0.3445789319046329,scr2003,avaConv,runOfRiver
al,h0012,0.2854930555416108,scr2003,avaConv,runOfRiver
al,h0013,0.30836837539351575,scr2003,avaConv,runOfRiver
al,h0014,0.32271280496601046,scr2003,avaConv,runOfRiver
al,h0015,0.33943628736958503,scr2003,avaConv,runOfRiver
al,h0016,0.2738652318155117,scr2003,avaConv,runOfRiver
al,h0017,0.22550916246313987,scr2003,avaConv,runOfRiver
al,h0018,0.1896122615022142,scr2003,avaConv,runOfRiver
al,h0019,0.16446333811721298,scr2003,avaConv,runOfRiver
al,h0020,0.15175472359572956,scr2003,avaConv,runOfRiver
al,h0021,0.1527996339820393,scr2003,avaConv,runOfRiver
al,h0022,0.20140300677848572,scr2003,avaConv,runOfRiver
al,h0023,0.2529917577166853,scr2003,avaConv,runOfRiver
al,h0024,0.32564842579035846,scr2003,avaConv,runOfRiver
at,h0001,0.7207424413320063,scr2003,avaConv,runOfRiver
at,h0002,0.8249648782663634,scr2003,avaConv,runOfRiver
at,h0003,0.895690848101963,scr2003,avaConv,runOfRiver
at,h0004,0.9501551133447417,scr2003,avaConv,runOfRiver
at,h0005,0.8465078454356814,scr2003,avaConv,runOfRiver
at,h0006,0.8892822595717111,scr2003,avaConv,runOfRiver
at,h0007,0.9465346213631816,scr2003,avaConv,runOfRiver
at,h0008,0.9395162282196585,scr2003,avaConv,runOfRiver
at,h0009,0.8068115282418802,scr2003,avaConv,runOfRiver
at,h0010,0.7137501287345813,scr2003,avaConv,runOfRiver
at,h0011,0.7390150728935908,scr2003,avaConv,runOfRiver
at,h0012,0.6369538725492616,scr2003,avaConv,runOfRiver
at,h0013,0.5468797513550899,scr2003,avaConv,runOfRiver
at,h0014,0.46225581816061084,scr2003,avaConv,runOfRiver
at,h0015,0.43255742703093925,scr2003,avaConv,runOfRiver
at,h0016,0.41049114803863346,scr2003,avaConv,runOfRiver
at,h0017,0.3931438883603588,scr2003,avaConv,runOfRiver
at,h0018,0.37982179915836084,scr2003,avaConv,runOfRiver
at,h0019,0.37060199524500226,scr2003,avaConv,runOfRiver
at,h0020,0.36729234769088215,scr2003,avaConv,runOfRiver
at,h0021,0.36848433321583596,scr2003,avaConv,runOfRiver
at,h0022,0.4056708197584684,scr2003,avaConv,runOfRiver
at,h0023,0.43568131229639256,scr2003,avaConv,runOfRiver
at,h0024,0.5039460957460729,scr2003,avaConv,runOfRiver
ba,h0001,0.520619054991309,scr2003,avaConv,runOfRiver
ba,h0002,0.514264338437036,scr2003,avaConv,runOfRiver
ba,h0003,0.6239140592684208,scr2003,avaConv,runOfRiver
ba,h0004,1.027497148624028,scr2003,avaConv,runOfRiver
ba,h0005,1.347208457218368,scr2003,avaConv,runOfRiver
ba,h0006,1.2570842118724006,scr2003,avaConv,runOfRiver
ba,h0007,0.7614620284119089,scr2003,avaConv,runOfRiver
ba,h0008,0.5577557162774673,scr2003,avaConv,runOfRiver
ba,h0009,0.5290373187823417,scr2003,avaConv,runOfRiver
ba,h0010,0.5669815966575611,scr2003,avaConv,runOfRiver
ba,h0011,0.606381615700067,scr2003,avaConv,runOfRiver
ba,h0012,0.546331905202438,scr2003,avaConv,runOfRiver
ba,h0013,0.6853742149080378,scr2003,avaConv,runOfRiver
ba,h0014,0.6650733479051738,scr2003,avaConv,runOfRiver
ba,h0015,0.6343312271898035,scr2003,avaConv,runOfRiver
ba,h0016,0.38787569058764365,scr2003,avaConv,runOfRiver
ba,h0017,0.2673868364316946,scr2003,avaConv,runOfRiver
ba,h0018,0.20114582948321566,scr2003,avaConv,runOfRiver
ba,h0019,0.16290376077540147,scr2003,avaConv,runOfRiver
ba,h0020,0.14360408673105157,scr2003,avaConv,runOfRiver
ba,h0021,0.1325586216612175,scr2003,avaConv,runOfRiver
ba,h0022,0.1424381409347199,scr2003,avaConv,runOfRiver
ba,h0023,0.149507020613925,scr2003,avaConv,runOfRiver
ba,h0024,0.16238710386882,scr2003,avaConv,runOfRiver
be,h0001,0.7139800490980487,scr2003,avaConv,runOfRiver
be,h0002,0.8242509978511295,scr2003,avaConv,runOfRiver
be,h0003,0.8067017778071589,scr2003,avaConv,runOfRiver
be,h0004,0.7872465742130921,scr2003,avaConv,runOfRiver
be,h0005,0.6720190168620382,scr2003,avaConv,runOfRiver
be,h0006,0.6102879924933206,scr2003,avaConv,runOfRiver
be,h0007,0.5727921632211785,scr2003,avaConv,runOfRiver
be,h0008,0.5749785865705014,scr2003,avaConv,runOfRiver
be,h0009,0.5804642963550979,scr2003,avaConv,runOfRiver
be,h0010,0.5996049352549989,scr2003,avaConv,runOfRiver
be,h0011,0.603809923286661,scr2003,avaConv,runOfRiver
be,h0012,0.595694430413391,scr2003,avaConv,runOfRiver
be,h0013,0.5948582441288073,scr2003,avaConv,runOfRiver
be,h0014,0.5873608556954741,scr2003,avaConv,runOfRiver
be,h0015,0.5766213529065879,scr2003,avaConv,runOfRiver
be,h0016,0.54717291091548,scr2003,avaConv,runOfRiver
be,h0017,0.4993745530810852,scr2003,avaConv,runOfRiver
be,h0018,0.45137840130222623,scr2003,avaConv,runOfRiver
be,h0019,0.41271353458659477,scr2003,avaConv,runOfRiver
be,h0020,0.38909564681001707,scr2003,avaConv,runOfRiver
be,h0021,0.4072924557728457,scr2003,avaConv,runOfRiver
be,h0022,0.41384833009632643,scr2003,avaConv,runOfRiver
be,h0023,0.4170356565117773,scr2003,avaConv,runOfRiver
be,h0024,0.3858216354174169,scr2003,avaConv,runOfRiver
bg,h0001,0.2549176824817326,scr2003,avaConv,runOfRiver
