scenario,timestep_3,parameter,value,comment
scr2012,ini01,scrProb,1.0,clustering
scr1985,ini01,scrProb,0.0,none
scr1986,ini01,scrProb,0.0,none
scr1988,ini01,scrProb,0.0,none
scr1989,ini01,scrProb,0.0,none
scr1990,ini01,scrProb,0.0,none
scr1998,ini01,scrProb,0.0,none
scr1999,ini01,scrProb,0.0,none
scr2000,ini01,scrProb,0.0,none
scr2004,ini01,scrProb,0.0,none
scr2005,ini01,scrProb,0.0,none
scr2006,ini01,scrProb,0.0,none
scr2009,ini01,scrProb,0.0,none
scr2016,ini01,scrProb,0.0,none
scr2006,ini02,scrProb,0.02857142857142857,extreme
scr2004,ini02,scrProb,0.9714285714285714,clustering
scr1985,ini02,scrProb,0.0,none
scr1986,ini02,scrProb,0.0,none
scr1988,ini02,scrProb,0.0,none
scr1989,ini02,scrProb,0.0,none
scr1990,ini02,scrProb,0.0,none
scr1998,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2000,ini02,scrProb,0.0,none
scr2005,ini02,scrProb,0.0,none
scr2009,ini02,scrProb,0.0,none
scr2012,ini02,scrProb,0.0,none
scr2016,ini02,scrProb,0.0,none
scr2009,ini03,scrProb,1.0,clustering
scr1985,ini03,scrProb,0.0,none
scr1986,ini03,scrProb,0.0,none
scr1988,ini03,scrProb,0.0,none
scr1989,ini03,scrProb,0.0,none
scr1990,ini03,scrProb,0.0,none
scr1998,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2000,ini03,scrProb,0.0,none
scr2004,ini03,scrProb,0.0,none
scr2005,ini03,scrProb,0.0,none
scr2006,ini03,scrProb,0.0,none
scr2012,ini03,scrProb,0.0,none
scr2016,ini03,scrProb,0.0,none
scr2000,ini04,scrProb,0.02857142857142857,extreme
scr2005,ini04,scrProb,0.9714285714285714,clustering
scr1985,ini04,scrProb,0.0,none
scr1986,ini04,scrProb,0.0,none
scr1988,ini04,scrProb,0.0,none
scr1989,ini04,scrProb,0.0,none
scr1990,ini04,scrProb,0.0,none
scr1998,ini04,scrProb,0.0,none
scr1999,ini04,scrProb,0.0,none
scr2004,ini04,scrProb,0.0,none
scr2006,ini04,scrProb,0.0,none
scr2009,ini04,scrProb,0.0,none
scr2012,ini04,scrProb,0.0,none
scr2016,ini04,scrProb,0.0,none
scr2016,ini05,scrProb,1.0,clustering
scr1985,ini05,scrProb,0.0,none
scr1986,ini05,scrProb,0.0,none
scr1988,ini05,scrProb,0.0,none
scr1989,ini05,scrProb,0.0,none
scr1990,ini05,scrProb,0.0,none
scr1998,ini05,scrProb,0.0,none
scr1999,ini05,scrProb,0.0,none
scr2000,ini05,scrProb,0.0,none
scr2004,ini05,scrProb,0.0,none
scr2005,ini05,scrProb,0.0,none
scr2006,ini05,scrProb,0.0,none
scr2009,ini05,scrProb,0.0,none
scr2012,ini05,scrProb,0.0,none
scr1998,ini06,scrProb,1.0,clustering
scr1985,ini06,scrProb,0.0,none
scr1986,ini06,scrProb,0.0,none
scr1988,ini06,scrProb,0.0,none
scr1989,ini06,scrProb,0.0,none
scr1990,ini06,scrProb,0.0,none
scr1999,ini06,scrProb,0.0,none
scr2000,ini06,scrProb,0.0,none
scr2004,ini06,scrProb,0.0,none
scr2005,ini06,scrProb,0.0,none
scr2006,ini06,scrProb,0.0,none
scr2009,ini06,scrProb,0.0,none
scr2012,ini06,scrProb,0.0,none
scr2016,ini06,scrProb,0.0,none
scr1999,ini07,scrProb,1.0,clustering
scr1985,ini07,scrProb,0.0,none
scr1986,ini07,scrProb,0.0,none
scr1988,ini07,scrProb,0.0,none
scr1989,ini07,scrProb,0.0,none
scr1990,ini07,scrProb,0.0,none
scr1998,ini07,scrProb,0.0,none
scr2000,ini07,scrProb,0.0,none
scr2004,ini07,scrProb,0.0,none
scr2005,ini07,scrProb,0.0,none
scr2006,ini07,scrProb,0.0,none
scr2009,ini07,scrProb,0.0,none
scr2012,ini07,scrProb,0.0,none
scr2016,ini07,scrProb,0.0,none
scr1986,ini08,scrProb,1.0,clustering
scr1985,ini08,scrProb,0.0,none
scr1988,ini08,scrProb,0.0,none
scr1989,ini08,scrProb,0.0,none
scr1990,ini08,scrProb,0.0,none
scr1998,ini08,scrProb,0.0,none
scr1999,ini08,scrProb,0.0,none
scr2000,ini08,scrProb,0.0,none
scr2004,ini08,scrProb,0.0,none
scr2005,ini08,scrProb,0.0,none
scr2006,ini08,scrProb,0.0,none
scr2009,ini08,scrProb,0.0,none
scr2012,ini08,scrProb,0.0,none
scr2016,ini08,scrProb,0.0,none
scr2006,ini09,scrProb,1.0,clustering
scr1985,ini09,scrProb,0.0,none
scr1986,ini09,scrProb,0.0,none
scr1988,ini09,scrProb,0.0,none
scr1989,ini09,scrProb,0.0,none
scr1990,ini09,scrProb,0.0,none
scr1998,ini09,scrProb,0.0,none
scr1999,ini09,scrProb,0.0,none
scr2000,ini09,scrProb,0.0,none
scr2004,ini09,scrProb,0.0,none
scr2005,ini09,scrProb,0.0,none
scr2009,ini09,scrProb,0.0,none
scr2012,ini09,scrProb,0.0,none
scr2016,ini09,scrProb,0.0,none
scr1988,ini10,scrProb,1.0,clustering
scr1985,ini10,scrProb,0.0,none
scr1986,ini10,scrProb,0.0,none
scr1989,ini10,scrProb,0.0,none
scr1990,ini10,scrProb,0.0,none
scr1998,ini10,scrProb,0.0,none
scr1999,ini10,scrProb,0.0,none
scr2000,ini10,scrProb,0.0,none
scr2004,ini10,scrProb,0.0,none
scr2005,ini10,scrProb,0.0,none
scr2006,ini10,scrProb,0.0,none
scr2009,ini10,scrProb,0.0,none
scr2012,ini10,scrProb,0.0,none
scr2016,ini10,scrProb,0.0,none
scr1985,ini11,scrProb,0.02857142857142857,extreme
scr1999,ini11,scrProb,0.9714285714285714,clustering
scr1986,ini11,scrProb,0.0,none
scr1988,ini11,scrProb,0.0,none
scr1989,ini11,scrProb,0.0,none
scr1990,ini11,scrProb,0.0,none
