timestep_3,region_4,carrier_1,parameter,value
d001,01ES,psngRoadPub,mustOut,0.4891573360231609
d002,01ES,psngRoadPub,mustOut,0.4959349045816568
d003,01ES,psngRoadPub,mustOut,0.5920711021108469
d004,01ES,psngRoadPub,mustOut,0.5644336461174435
d005,01ES,psngRoadPub,mustOut,0.49788663802045785
d006,01ES,psngRoadPub,mustOut,0.517357377758283
d007,01ES,psngRoadPub,mustOut,0.6175215729065299
d008,01ES,psngRoadPub,mustOut,0.49255412400137816
d009,01ES,psngRoadPub,mustOut,0.4851162209581848
d010,01ES,psngRoadPub,mustOut,0.5923255479705
d011,01ES,psngRoadPub,mustOut,0.5453753666362339
d012,01ES,psngRoadPub,mustOut,0.4895771834430071
d013,01ES,psngRoadPub,mustOut,0.5150021684390461
d014,01ES,psngRoadPub,mustOut,0.5923854632779734
d015,01ES,psngRoadPub,mustOut,0.46908027557526344
d016,01ES,psngRoadPub,mustOut,0.47980286050631893
d017,01ES,psngRoadPub,mustOut,0.5633124620945831
d018,01ES,psngRoadPub,mustOut,0.5258269628155804
d019,01ES,psngRoadPub,mustOut,0.4804610610895801
d020,01ES,psngRoadPub,mustOut,0.5298447326818393
d021,01ES,psngRoadPub,mustOut,0.6395284436846029
d022,01ES,psngRoadPub,mustOut,0.5115339666206933
d023,01ES,psngRoadPub,mustOut,0.4899939360741378
d024,01ES,psngRoadPub,mustOut,0.6134219242848575
d025,01ES,psngRoadPub,mustOut,0.539729663489852
d026,01ES,psngRoadPub,mustOut,0.4961961343487884
d027,01ES,psngRoadPub,mustOut,0.533525876855308
d028,01ES,psngRoadPub,mustOut,0.6290929278741765
d029,01ES,psngRoadPub,mustOut,0.4922689243587013
d030,01ES,psngRoadPub,mustOut,0.5009409077173158
d031,01ES,psngRoadPub,mustOut,0.6068617734364357
d032,01ES,psngRoadPub,mustOut,0.5368064226520094
d033,01ES,psngRoadPub,mustOut,0.48466427241986293
d034,01ES,psngRoadPub,mustOut,0.501207830173148
d035,01ES,psngRoadPub,mustOut,0.6007885994737068
d036,01ES,psngRoadPub,mustOut,0.4899324576334169
d037,01ES,psngRoadPub,mustOut,0.49077124357089524
d038,01ES,psngRoadPub,mustOut,0.6259474992933463
d039,01ES,psngRoadPub,mustOut,0.5964541388274208
d040,01ES,psngRoadPub,mustOut,0.5251140080795317
d041,01ES,psngRoadPub,mustOut,0.5462206599843383
d042,01ES,psngRoadPub,mustOut,0.6743881474197734
d043,01ES,psngRoadPub,mustOut,0.5387184030242859
d044,01ES,psngRoadPub,mustOut,0.5029848035291912
d045,01ES,psngRoadPub,mustOut,0.599972529197748
d046,01ES,psngRoadPub,mustOut,0.5856166049723196
d047,01ES,psngRoadPub,mustOut,0.5083042907045497
d048,01ES,psngRoadPub,mustOut,0.5200407605184315
d049,01ES,psngRoadPub,mustOut,0.6559909774364914
d050,01ES,psngRoadPub,mustOut,0.483177934797318
d051,01ES,psngRoadPub,mustOut,0.4935593299749739
d052,01ES,psngRoadPub,mustOut,0.5768447991110478
d053,01ES,psngRoadPub,mustOut,0.5442486676220119
d054,01ES,psngRoadPub,mustOut,0.4895125840008642
d055,01ES,psngRoadPub,mustOut,0.5126287612232411
d056,01ES,psngRoadPub,mustOut,0.6350237776404969
d057,01ES,psngRoadPub,mustOut,0.4973067548266376
d058,01ES,psngRoadPub,mustOut,0.5001205677879574
d059,01ES,psngRoadPub,mustOut,0.5859978995570653
d060,01ES,psngRoadPub,mustOut,0.560064750882855
d061,01ES,psngRoadPub,mustOut,0.49764659199778466
d062,01ES,psngRoadPub,mustOut,0.5003961394152511
d063,01ES,psngRoadPub,mustOut,0.6149519025609792
d064,01ES,psngRoadPub,mustOut,0.48979130234071677
d065,01ES,psngRoadPub,mustOut,0.4664209548286495
d066,01ES,psngRoadPub,mustOut,0.5846691385267102
d067,01ES,psngRoadPub,mustOut,0.552943736576331
d068,01ES,psngRoadPub,mustOut,0.4939306066161325
d069,01ES,psngRoadPub,mustOut,0.49897009925704516
d070,01ES,psngRoadPub,mustOut,0.6240826708464946
d071,01ES,psngRoadPub,mustOut,0.5009721523313736
d072,01ES,psngRoadPub,mustOut,0.4857136040184568
d073,01ES,psngRoadPub,mustOut,0.5073196525631701
d001,02ES,psngRoadPub,mustOut,0.4891573360231609
d002,02ES,psngRoadPub,mustOut,0.4959349045816568
d003,02ES,psngRoadPub,mustOut,0.5920711021108469
d004,02ES,psngRoadPub,mustOut,0.5644336461174435
d005,02ES,psngRoadPub,mustOut,0.49788663802045785
d006,02ES,psngRoadPub,mustOut,0.517357377758283
d007,02ES,psngRoadPub,mustOut,0.6175215729065299
d008,02ES,psngRoadPub,mustOut,0.49255412400137816
d009,02ES,psngRoadPub,mustOut,0.4851162209581848
d010,02ES,psngRoadPub,mustOut,0.5923255479705
d011,02ES,psngRoadPub,mustOut,0.5453753666362339
d012,02ES,psngRoadPub,mustOut,0.4895771834430071
d013,02ES,psngRoadPub,mustOut,0.5150021684390461
d014,02ES,psngRoadPub,mustOut,0.5923854632779734
d015,02ES,psngRoadPub,mustOut,0.46908027557526344
d016,02ES,psngRoadPub,mustOut,0.47980286050631893
d017,02ES,psngRoadPub,mustOut,0.5633124620945831
d018,02ES,psngRoadPub,mustOut,0.5258269628155804
d019,02ES,psngRoadPub,mustOut,0.4804610610895801
d020,02ES,psngRoadPub,mustOut,0.5298447326818393
d021,02ES,psngRoadPub,mustOut,0.6395284436846029
d022,02ES,psngRoadPub,mustOut,0.5115339666206933
d023,02ES,psngRoadPub,mustOut,0.4899939360741378
d024,02ES,psngRoadPub,mustOut,0.6134219242848575
d025,02ES,psngRoadPub,mustOut,0.539729663489852
d026,02ES,psngRoadPub,mustOut,0.4961961343487884
d027,02ES,psngRoadPub,mustOut,0.533525876855308
d028,02ES,psngRoadPub,mustOut,0.6290929278741765
d029,02ES,psngRoadPub,mustOut,0.4922689243587013
d030,02ES,psngRoadPub,mustOut,0.5009409077173158
d031,02ES,psngRoadPub,mustOut,0.6068617734364357
d032,02ES,psngRoadPub,mustOut,0.5368064226520094
d033,02ES,psngRoadPub,mustOut,0.48466427241986293
d034,02ES,psngRoadPub,mustOut,0.501207830173148
d035,02ES,psngRoadPub,mustOut,0.6007885994737068
d036,02ES,psngRoadPub,mustOut,0.4899324576334169
d037,02ES,psngRoadPub,mustOut,0.49077124357089524
d038,02ES,psngRoadPub,mustOut,0.6259474992933463
d039,02ES,psngRoadPub,mustOut,0.5964541388274208
d040,02ES,psngRoadPub,mustOut,0.5251140080795317
d041,02ES,psngRoadPub,mustOut,0.5462206599843383
d042,02ES,psngRoadPub,mustOut,0.6743881474197734
