timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,AT,at,50AT,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,AT,at,51AT,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,BE,be,28BE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,BG,bg,66BG,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,CZ,cz,39CZ,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,CZ,cz,40CZ,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DE,de,31DE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DE,de,32DE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DE,de,33DE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DE,de,34DE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DE,de,35DE,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DK,dk_e,72DK,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,01ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,02ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,03ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,04ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,05ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,06ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,07ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,08ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,09ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,10ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,ES,es,11ES,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FI,fi,74FI,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,23FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,24FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,25FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,26FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr,27FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,bioConversion,,gasification,expConvFix,0.0
30th,2040,EU,HR,hr,62HR,bioConversion,,gasification,expConvFix,0.0
