timestep_5,region_4,technology_2,parameter,value
h0001,01ES,rooftopResi_a,avaConv,0.0
h0002,01ES,rooftopResi_a,avaConv,0.0
h0003,01ES,rooftopResi_a,avaConv,0.0
h0004,01ES,rooftopResi_a,avaConv,0.0
h0005,01ES,rooftopResi_a,avaConv,0.0
h0006,01ES,rooftopResi_a,avaConv,0.0
h0007,01ES,rooftopResi_a,avaConv,0.0
h0008,01ES,rooftopResi_a,avaConv,0.0
h0009,01ES,rooftopResi_a,avaConv,0.0444556986923601
h0010,01ES,rooftopResi_a,avaConv,0.123582246784204
h0011,01ES,rooftopResi_a,avaConv,0.338080656083179
h0012,01ES,rooftopResi_a,avaConv,0.543354017187322
h0013,01ES,rooftopResi_a,avaConv,0.615808787411929
h0014,01ES,rooftopResi_a,avaConv,0.690236402483117
h0015,01ES,rooftopResi_a,avaConv,0.525810645016472
h0016,01ES,rooftopResi_a,avaConv,0.554075593876666
h0017,01ES,rooftopResi_a,avaConv,0.40960344959445
h0018,01ES,rooftopResi_a,avaConv,0.330497647447395
h0019,01ES,rooftopResi_a,avaConv,0.148908591737768
h0020,01ES,rooftopResi_a,avaConv,0.0225905159687937
h0021,01ES,rooftopResi_a,avaConv,0.0
h0022,01ES,rooftopResi_a,avaConv,0.0
h0023,01ES,rooftopResi_a,avaConv,0.0
h0024,01ES,rooftopResi_a,avaConv,0.0
h0025,01ES,rooftopResi_a,avaConv,0.0
h0026,01ES,rooftopResi_a,avaConv,0.0
h0027,01ES,rooftopResi_a,avaConv,0.0
h0028,01ES,rooftopResi_a,avaConv,0.0
h0029,01ES,rooftopResi_a,avaConv,0.0
h0030,01ES,rooftopResi_a,avaConv,0.0
h0031,01ES,rooftopResi_a,avaConv,0.0208097151712586
h0032,01ES,rooftopResi_a,avaConv,0.0969180147074179
h0033,01ES,rooftopResi_a,avaConv,0.14941887726747
h0034,01ES,rooftopResi_a,avaConv,0.332363391754607
h0035,01ES,rooftopResi_a,avaConv,0.467486890796717
h0036,01ES,rooftopResi_a,avaConv,0.711327017666776
h0037,01ES,rooftopResi_a,avaConv,0.727951158932614
h0038,01ES,rooftopResi_a,avaConv,0.754886515475418
h0039,01ES,rooftopResi_a,avaConv,0.748936237837987
h0040,01ES,rooftopResi_a,avaConv,0.761134255290113
h0041,01ES,rooftopResi_a,avaConv,0.676123586906438
h0042,01ES,rooftopResi_a,avaConv,0.44335591730056
h0043,01ES,rooftopResi_a,avaConv,0.244102567999589
h0044,01ES,rooftopResi_a,avaConv,0.0935182593298301
h0045,01ES,rooftopResi_a,avaConv,0.0431168729015806
