timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,NL,s2014,solar,avaConv,0.0
h0002,NL,s2014,solar,avaConv,0.0
h0003,NL,s2014,solar,avaConv,0.0
h0004,NL,s2014,solar,avaConv,0.0
h0005,NL,s2014,solar,avaConv,0.0
h0006,NL,s2014,solar,avaConv,0.0
h0007,NL,s2014,solar,avaConv,0.0
h0008,NL,s2014,solar,avaConv,9.16780575832547e-5
h0009,NL,s2014,solar,avaConv,0.0206432446430012
h0010,NL,s2014,solar,avaConv,0.0595197903728161
h0011,NL,s2014,solar,avaConv,0.0842224486763988
h0012,NL,s2014,solar,avaConv,0.0963277880446731
h0013,NL,s2014,solar,avaConv,0.0925633777613639
h0014,NL,s2014,solar,avaConv,0.0585282094108653
h0015,NL,s2014,solar,avaConv,0.0301314441732153
h0016,NL,s2014,solar,avaConv,0.00150453823715629
h0017,NL,s2014,solar,avaConv,0.0
h0018,NL,s2014,solar,avaConv,0.0
h0019,NL,s2014,solar,avaConv,0.0
h0020,NL,s2014,solar,avaConv,0.0
h0021,NL,s2014,solar,avaConv,0.0
h0022,NL,s2014,solar,avaConv,0.0
h0023,NL,s2014,solar,avaConv,0.0
h0024,NL,s2014,solar,avaConv,0.0
h0025,NL,s2014,solar,avaConv,0.0
h0026,NL,s2014,solar,avaConv,0.0
h0027,NL,s2014,solar,avaConv,0.0
h0028,NL,s2014,solar,avaConv,0.0
h0029,NL,s2014,solar,avaConv,0.0
h0030,NL,s2014,solar,avaConv,0.0
h0031,NL,s2014,solar,avaConv,0.0
h0032,NL,s2014,solar,avaConv,8.2728627047232e-5
h0033,NL,s2014,solar,avaConv,0.0142634785997487
h0034,NL,s2014,solar,avaConv,0.0324005209078471
h0035,NL,s2014,solar,avaConv,0.0579006308160236
h0036,NL,s2014,solar,avaConv,0.0952828675501937
h0037,NL,s2014,solar,avaConv,0.0991228427088171
h0038,NL,s2014,solar,avaConv,0.085134484321251
h0039,NL,s2014,solar,avaConv,0.0405984006477057
h0040,NL,s2014,solar,avaConv,0.0025742629828823
h0041,NL,s2014,solar,avaConv,0.0
h0042,NL,s2014,solar,avaConv,0.0
h0043,NL,s2014,solar,avaConv,0.0
h0044,NL,s2014,solar,avaConv,0.0
h0045,NL,s2014,solar,avaConv,0.0
h0046,NL,s2014,solar,avaConv,0.0
h0047,NL,s2014,solar,avaConv,0.0
h0048,NL,s2014,solar,avaConv,0.0
h0049,NL,s2014,solar,avaConv,0.0
h0050,NL,s2014,solar,avaConv,0.0
h0051,NL,s2014,solar,avaConv,0.0
h0052,NL,s2014,solar,avaConv,0.0
h0053,NL,s2014,solar,avaConv,0.0
h0054,NL,s2014,solar,avaConv,0.0
h0055,NL,s2014,solar,avaConv,0.0
h0056,NL,s2014,solar,avaConv,3.07451422661821e-7
h0057,NL,s2014,solar,avaConv,0.00531228056037576
h0058,NL,s2014,solar,avaConv,0.0283440315698912
h0059,NL,s2014,solar,avaConv,0.0724329945574687
h0060,NL,s2014,solar,avaConv,0.121788326817712
h0061,NL,s2014,solar,avaConv,0.137914864169496
h0062,NL,s2014,solar,avaConv,0.107947020492319
h0063,NL,s2014,solar,avaConv,0.043688061392647
h0064,NL,s2014,solar,avaConv,0.00231311520813427
h0065,NL,s2014,solar,avaConv,0.0
h0066,NL,s2014,solar,avaConv,0.0
h0067,NL,s2014,solar,avaConv,0.0
h0068,NL,s2014,solar,avaConv,0.0
h0069,NL,s2014,solar,avaConv,0.0
h0070,NL,s2014,solar,avaConv,0.0
h0071,NL,s2014,solar,avaConv,0.0
h0072,NL,s2014,solar,avaConv,0.0
h0073,NL,s2014,solar,avaConv,0.0
h0074,NL,s2014,solar,avaConv,0.0
h0075,NL,s2014,solar,avaConv,0.0
h0076,NL,s2014,solar,avaConv,0.0
h0077,NL,s2014,solar,avaConv,0.0
h0078,NL,s2014,solar,avaConv,0.0
h0079,NL,s2014,solar,avaConv,0.0
h0080,NL,s2014,solar,avaConv,6.92360586409891e-5
h0081,NL,s2014,solar,avaConv,0.0127035287774183
h0082,NL,s2014,solar,avaConv,0.0424897236128717
h0083,NL,s2014,solar,avaConv,0.0869933909346248
h0084,NL,s2014,solar,avaConv,0.108806743072673
h0085,NL,s2014,solar,avaConv,0.0836802275058337
h0086,NL,s2014,solar,avaConv,0.0462558426414653
h0087,NL,s2014,solar,avaConv,0.0155522404555089
h0088,NL,s2014,solar,avaConv,0.000761302884734766
h0089,NL,s2014,solar,avaConv,0.0
h0090,NL,s2014,solar,avaConv,0.0
h0091,NL,s2014,solar,avaConv,0.0
h0092,NL,s2014,solar,avaConv,0.0
h0093,NL,s2014,solar,avaConv,0.0
h0094,NL,s2014,solar,avaConv,0.0
h0095,NL,s2014,solar,avaConv,0.0
h0096,NL,s2014,solar,avaConv,0.0
