region_4,category,timestep_6,value,scenario_1,parameter,technology_3
AL,1,h0025,0.23044069705486656,scr1999,avaConv,onshore_a
AL,1,h0026,0.563529752544188,scr1999,avaConv,onshore_a
AL,1,h0027,0.5802880978996973,scr1999,avaConv,onshore_a
AL,1,h0028,0.6177350263820487,scr1999,avaConv,onshore_a
AL,1,h0029,0.23389119189503565,scr1999,avaConv,onshore_a
AL,1,h0030,0.40258690242207484,scr1999,avaConv,onshore_a
AL,1,h0031,0.48745193013010857,scr1999,avaConv,onshore_a
AL,1,h0032,0.6172586170299288,scr1999,avaConv,onshore_a
AL,1,h0033,0.678348821495889,scr1999,avaConv,onshore_a
AL,1,h0034,0.6526483715365329,scr1999,avaConv,onshore_a
AL,1,h0035,0.6757100300732741,scr1999,avaConv,onshore_a
AL,1,h0036,0.7583168841141568,scr1999,avaConv,onshore_a
AL,1,h0037,0.8124344077662069,scr1999,avaConv,onshore_a
AL,1,h0038,0.7171865043034398,scr1999,avaConv,onshore_a
AL,1,h0039,0.4496140260581342,scr1999,avaConv,onshore_a
AL,1,h0040,0.29780174107102114,scr1999,avaConv,onshore_a
AL,1,h0041,0.4750124805915879,scr1999,avaConv,onshore_a
AL,1,h0042,0.5060200470832045,scr1999,avaConv,onshore_a
AL,1,h0043,0.5204899709295481,scr1999,avaConv,onshore_a
AL,1,h0044,0.47477918958967347,scr1999,avaConv,onshore_a
AL,1,h0045,0.6222834261453559,scr1999,avaConv,onshore_a
AL,1,h0046,0.6747301526810937,scr1999,avaConv,onshore_a
AL,1,h0047,0.5212440561512477,scr1999,avaConv,onshore_a
AL,1,h0048,0.28541147763970187,scr1999,avaConv,onshore_a
AT,1,h0025,0.1527681989903493,scr1999,avaConv,onshore_a
AT,1,h0026,0.11480590641292633,scr1999,avaConv,onshore_a
AT,1,h0027,0.1799271797195908,scr1999,avaConv,onshore_a
AT,1,h0028,0.3685261259519471,scr1999,avaConv,onshore_a
AT,1,h0029,0.3813149314960089,scr1999,avaConv,onshore_a
AT,1,h0030,0.3816166712446962,scr1999,avaConv,onshore_a
AT,1,h0031,0.23088684695475828,scr1999,avaConv,onshore_a
AT,1,h0032,0.26698339932066995,scr1999,avaConv,onshore_a
AT,1,h0033,0.2401855838418085,scr1999,avaConv,onshore_a
AT,1,h0034,0.34025310499565503,scr1999,avaConv,onshore_a
AT,1,h0035,0.5289495929264911,scr1999,avaConv,onshore_a
AT,1,h0036,0.6957721810500008,scr1999,avaConv,onshore_a
AT,1,h0037,0.5931703000782858,scr1999,avaConv,onshore_a
AT,1,h0038,0.4318375913138929,scr1999,avaConv,onshore_a
AT,1,h0039,0.18974967854644367,scr1999,avaConv,onshore_a
AT,1,h0040,0.21099617934473525,scr1999,avaConv,onshore_a
