timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,DE,s2018,electricity,dem,47.9672382894051
h0002,DE,s2018,electricity,dem,47.016462190504
h0003,DE,s2018,electricity,dem,47.0614992784161
h0004,DE,s2018,electricity,dem,47.9037726300645
h0005,DE,s2018,electricity,dem,49.8502245531414
h0006,DE,s2018,electricity,dem,54.8372822454491
h0007,DE,s2018,electricity,dem,60.0317822454491
h0008,DE,s2018,electricity,dem,62.7739553223722
h0009,DE,s2018,electricity,dem,64.1469553223722
h0010,DE,s2018,electricity,dem,65.4411146630315
h0011,DE,s2018,electricity,dem,66.4329237289656
h0012,DE,s2018,electricity,dem,65.9485185091853
h0013,DE,s2018,electricity,dem,64.7676751025919
h0014,DE,s2018,electricity,dem,63.5456490036908
h0015,DE,s2018,electricity,dem,62.9383248278667
h0016,DE,s2018,electricity,dem,63.3929855421524
h0017,DE,s2018,electricity,dem,65.8333124652293
h0018,DE,s2018,electricity,dem,66.6298893883062
h0019,DE,s2018,electricity,dem,65.1975487289656
h0020,DE,s2018,electricity,dem,61.5874278498447
h0021,DE,s2018,electricity,dem,58.6471256520425
h0022,DE,s2018,electricity,dem,56.8259786740205
h0023,DE,s2018,electricity,dem,53.0675913113831
h0024,DE,s2018,electricity,dem,49.9469333443502
h0025,DE,s2018,electricity,dem,50.3141288857051
h0026,DE,s2018,electricity,dem,49.363352786804
h0027,DE,s2018,electricity,dem,49.4083898747162
h0028,DE,s2018,electricity,dem,50.2506632263645
h0029,DE,s2018,electricity,dem,52.1971151494414
h0030,DE,s2018,electricity,dem,57.1841728417491
h0031,DE,s2018,electricity,dem,62.3786728417491
h0032,DE,s2018,electricity,dem,65.1208459186722
h0033,DE,s2018,electricity,dem,66.4938459186722
h0034,DE,s2018,electricity,dem,67.7880052593315
h0035,DE,s2018,electricity,dem,68.7798143252656
h0036,DE,s2018,electricity,dem,68.2954091054853
h0037,DE,s2018,electricity,dem,67.1145656988919
h0038,DE,s2018,electricity,dem,65.8925395999908
h0039,DE,s2018,electricity,dem,65.2852154241667
h0040,DE,s2018,electricity,dem,65.7398761384524
h0041,DE,s2018,electricity,dem,68.1802030615293
h0042,DE,s2018,electricity,dem,68.9767799846062
h0043,DE,s2018,electricity,dem,67.5444393252656
h0044,DE,s2018,electricity,dem,63.9343184461447
h0045,DE,s2018,electricity,dem,60.9940162483425
h0046,DE,s2018,electricity,dem,59.1728692703205
h0047,DE,s2018,electricity,dem,55.4144819076831
h0048,DE,s2018,electricity,dem,52.2938239406502
h0049,DE,s2018,electricity,dem,50.0066784699051
h0050,DE,s2018,electricity,dem,49.055902371004
h0051,DE,s2018,electricity,dem,49.1009394589162
h0052,DE,s2018,electricity,dem,49.9432128105645
h0053,DE,s2018,electricity,dem,51.8896647336414
h0054,DE,s2018,electricity,dem,56.8767224259491
h0055,DE,s2018,electricity,dem,62.0712224259491
h0056,DE,s2018,electricity,dem,64.8133955028721
h0057,DE,s2018,electricity,dem,66.1863955028722
