region_4,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
01ES,power,reservoir,capaStOutResi,2.660370803,capaStInResi,0,capaStSizeResi,2824.352338
02ES,power,reservoir,capaStOutResi,2.945014541,capaStInResi,0,capaStSizeResi,3126.541118
03ES,power,reservoir,capaStOutResi,0.333271119,capaStInResi,0,capaStSizeResi,353.8134845
04ES,power,reservoir,capaStOutResi,0.198490061,capaStInResi,0,capaStSizeResi,210.7247106
05ES,power,reservoir,capaStOutResi,0.598413991,capaStInResi,0,capaStSizeResi,635.2993922
06ES,power,reservoir,capaStOutResi,1.567367981,capaStInResi,0,capaStSizeResi,1663.978351
07ES,power,reservoir,capaStOutResi,0.145273918,capaStInResi,0,capaStSizeResi,154.2283988
08ES,power,reservoir,capaStOutResi,0.520704829,capaStInResi,0,capaStSizeResi,552.8003465
09ES,power,reservoir,capaStOutResi,0.548107125,capaStInResi,0,capaStSizeResi,581.8916811
10ES,power,reservoir,capaStOutResi,0.413060017,capaStInResi,0,capaStSizeResi,438.520459
11ES,power,reservoir,capaStOutResi,1.042124617,capaStInResi,0,capaStSizeResi,1106.359721
12PT,power,reservoir,capaStOutResi,3.122223926,capaStInResi,0,capaStSizeResi,1069.292252
13PT,power,reservoir,capaStOutResi,0.643276074,capaStInResi,0,capaStSizeResi,220.3077481
14FR,power,reservoir,capaStOutResi,0.771920895,capaStInResi,0,capaStSizeResi,878.6439952
15FR,power,reservoir,capaStOutResi,1.747524185,capaStInResi,0,capaStSizeResi,1989.130805
16FR,power,reservoir,capaStOutResi,0.838865422,capaStInResi,0,capaStSizeResi,954.8440394
17FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
18FR,power,reservoir,capaStOutResi,0.149224877,capaStInResi,0,capaStSizeResi,169.8561902
19FR,power,reservoir,capaStOutResi,1.718394582,capaStInResi,0,capaStSizeResi,1955.973845
20FR,power,reservoir,capaStOutResi,3.117341904,capaStInResi,0,capaStSizeResi,3548.33476
21FR,power,reservoir,capaStOutResi,0.080381141,capaStInResi,0,capaStSizeResi,91.49435814
22FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
23FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
24FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
25FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
26FR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
27FR,power,reservoir,capaStOutResi,0.361712847,capaStInResi,0,capaStSizeResi,411.7220079
28BE,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
29LU,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
30NL,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
31DE,power,reservoir,capaStOutResi,0.082803397,capaStInResi,0,capaStSizeResi,16.50832878
32DE,power,reservoir,capaStOutResi,0.00177255,capaStInResi,0,capaStSizeResi,0.353389301
33DE,power,reservoir,capaStOutResi,0.117114897,capaStInResi,0,capaStSizeResi,23.34893596
34DE,power,reservoir,capaStOutResi,0.450101035,capaStInResi,0,capaStSizeResi,89.73564038
35DE,power,reservoir,capaStOutResi,0.110151308,capaStInResi,0,capaStSizeResi,21.96062085
36DE,power,reservoir,capaStOutResi,0.438706072,capaStInResi,0,capaStSizeResi,87.463852
37DE,power,reservoir,capaStOutResi,0.096350742,capaStInResi,0,capaStSizeResi,19.20923272
38DK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
39CZ,power,reservoir,capaStOutResi,0.479041003,capaStInResi,0,capaStSizeResi,1.716451454
40CZ,power,reservoir,capaStOutResi,0.218678997,capaStInResi,0,capaStSizeResi,0.783548546
41PL,power,reservoir,capaStOutResi,0.054296,capaStInResi,0,capaStSizeResi,0.164
42PL,power,reservoir,capaStOutResi,0.054296,capaStInResi,0,capaStSizeResi,0.164
43PL,power,reservoir,capaStOutResi,0.054296,capaStInResi,0,capaStSizeResi,0.164
44PL,power,reservoir,capaStOutResi,0.054296,capaStInResi,0,capaStSizeResi,0.164
45PL,power,reservoir,capaStOutResi,0.054296,capaStInResi,0,capaStSizeResi,0.164
46SK,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
47CH,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
48CH,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
49AT,power,reservoir,capaStOutResi,1.78056477,capaStInResi,0,capaStSizeResi,541.5693919
50AT,power,reservoir,capaStOutResi,0.457728291,capaStInResi,0,capaStSizeResi,139.220789
51AT,power,reservoir,capaStOutResi,0.250660939,capaStInResi,0,capaStSizeResi,76.24001915
52IT,power,reservoir,capaStOutResi,7.1221,capaStInResi,0,capaStSizeResi,3707
53IT,power,reservoir,capaStOutResi,0.3414,capaStInResi,0,capaStSizeResi,186.97
54IT,power,reservoir,capaStOutResi,1.094528976,capaStInResi,0,capaStSizeResi,803.36
55IT,power,reservoir,capaStOutResi,0.87592,capaStInResi,0,capaStSizeResi,726.17
56IT,power,reservoir,capaStOutResi,0.0731,capaStInResi,0,capaStSizeResi,81.25
57SI,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
58HU,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
59RO,power,reservoir,capaStOutResi,1.166235626,capaStInResi,0,capaStSizeResi,1096.635101
60RO,power,reservoir,capaStOutResi,1.080005824,capaStInResi,0,capaStSizeResi,1015.551463
61RO,power,reservoir,capaStOutResi,0.33299655,capaStInResi,0,capaStSizeResi,313.1234353
62HR,power,reservoir,capaStOutResi,1.94129,capaStInResi,0,capaStSizeResi,2045.9
63BA,power,reservoir,capaStOutResi,1.6159,capaStInResi,0,capaStSizeResi,1711.51
64ME,power,reservoir,capaStOutResi,1.0584,capaStInResi,0,capaStSizeResi,582.4
65RS,power,reservoir,capaStOutResi,0.43427,capaStInResi,0,capaStSizeResi,646
66BG,power,reservoir,capaStOutResi,1.2813,capaStInResi,0,capaStSizeResi,843
67MK,power,reservoir,capaStOutResi,0.6706,capaStInResi,0,capaStSizeResi,628.2
68GR,power,reservoir,capaStOutResi,2.7437,capaStInResi,0,capaStSizeResi,3600
69GR,power,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
70AL,power,reservoir,capaStOutResi,2.092944,capaStInResi,0,capaStSizeResi,1450
