timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,FR,s1996,wind,avaConv,0.0536803197717219
h0002,FR,s1996,wind,avaConv,0.0469470856030715
h0003,FR,s1996,wind,avaConv,0.0480488442612538
h0004,FR,s1996,wind,avaConv,0.0603562408745509
h0005,FR,s1996,wind,avaConv,0.0632355730201014
h0006,FR,s1996,wind,avaConv,0.0732680579160523
h0007,FR,s1996,wind,avaConv,0.0991521309028523
h0008,FR,s1996,wind,avaConv,0.111902753030636
h0009,FR,s1996,wind,avaConv,0.128946351986132
h0010,FR,s1996,wind,avaConv,0.164694028204551
h0011,FR,s1996,wind,avaConv,0.190627753946468
h0012,FR,s1996,wind,avaConv,0.223047295083695
h0013,FR,s1996,wind,avaConv,0.240734567958916
h0014,FR,s1996,wind,avaConv,0.237131120965079
h0015,FR,s1996,wind,avaConv,0.220471425733615
h0016,FR,s1996,wind,avaConv,0.204351859390103
h0017,FR,s1996,wind,avaConv,0.240911455604877
h0018,FR,s1996,wind,avaConv,0.330831881108553
h0019,FR,s1996,wind,avaConv,0.391270272270518
h0020,FR,s1996,wind,avaConv,0.427463790223413
h0021,FR,s1996,wind,avaConv,0.449536958541778
h0022,FR,s1996,wind,avaConv,0.454344344254384
h0023,FR,s1996,wind,avaConv,0.43741730541478
h0024,FR,s1996,wind,avaConv,0.43905440660715
h0025,FR,s1996,wind,avaConv,0.449711632195293
h0026,FR,s1996,wind,avaConv,0.464025389888987
h0027,FR,s1996,wind,avaConv,0.487024793641533
h0028,FR,s1996,wind,avaConv,0.490400474754693
h0029,FR,s1996,wind,avaConv,0.498378210889756
h0030,FR,s1996,wind,avaConv,0.470667625178264
h0031,FR,s1996,wind,avaConv,0.441298946496146
h0032,FR,s1996,wind,avaConv,0.408758042237016
h0033,FR,s1996,wind,avaConv,0.382051570755256
h0034,FR,s1996,wind,avaConv,0.387844327288834
h0035,FR,s1996,wind,avaConv,0.362936333301861
h0036,FR,s1996,wind,avaConv,0.345281280709468
h0037,FR,s1996,wind,avaConv,0.338574682392963
h0038,FR,s1996,wind,avaConv,0.334571850829301
h0039,FR,s1996,wind,avaConv,0.286001721620394
h0040,FR,s1996,wind,avaConv,0.178205900155596
h0041,FR,s1996,wind,avaConv,0.138513258082957
h0042,FR,s1996,wind,avaConv,0.129578816479033
h0043,FR,s1996,wind,avaConv,0.120213088274902
h0044,FR,s1996,wind,avaConv,0.11183160887156
h0045,FR,s1996,wind,avaConv,0.105509874745755
h0046,FR,s1996,wind,avaConv,0.0982418340633892
h0047,FR,s1996,wind,avaConv,0.0837065756118306
h0048,FR,s1996,wind,avaConv,0.0756625174632731
h0049,FR,s1996,wind,avaConv,0.070107796749968
h0050,FR,s1996,wind,avaConv,0.0695307837073382
h0051,FR,s1996,wind,avaConv,0.0689531178325738
h0052,FR,s1996,wind,avaConv,0.0766188351524817
h0053,FR,s1996,wind,avaConv,0.0865556549623765
h0054,FR,s1996,wind,avaConv,0.0962076410333286
h0055,FR,s1996,wind,avaConv,0.106121884252616
h0056,FR,s1996,wind,avaConv,0.11444283102539
h0057,FR,s1996,wind,avaConv,0.114668242428368
h0058,FR,s1996,wind,avaConv,0.152740033922331
h0059,FR,s1996,wind,avaConv,0.170648847421012
h0060,FR,s1996,wind,avaConv,0.183578212160454
h0061,FR,s1996,wind,avaConv,0.189296872799658
h0062,FR,s1996,wind,avaConv,0.189847243296795
h0063,FR,s1996,wind,avaConv,0.181541187522115
h0064,FR,s1996,wind,avaConv,0.129920488425644
h0065,FR,s1996,wind,avaConv,0.116367088846873
h0066,FR,s1996,wind,avaConv,0.171235722746864
h0067,FR,s1996,wind,avaConv,0.227863326308263
h0068,FR,s1996,wind,avaConv,0.26953093829248
h0069,FR,s1996,wind,avaConv,0.297359774571023
h0070,FR,s1996,wind,avaConv,0.30702232558978
h0071,FR,s1996,wind,avaConv,0.350871795489051
h0072,FR,s1996,wind,avaConv,0.396645772537831
h0073,FR,s1996,wind,avaConv,0.392983577228587
h0074,FR,s1996,wind,avaConv,0.393872528073123
h0075,FR,s1996,wind,avaConv,0.39992105918776
h0076,FR,s1996,wind,avaConv,0.428043746078824
h0077,FR,s1996,wind,avaConv,0.475349900882894
h0078,FR,s1996,wind,avaConv,0.506033681874321
h0079,FR,s1996,wind,avaConv,0.55598191416322
h0080,FR,s1996,wind,avaConv,0.590772854453949
h0081,FR,s1996,wind,avaConv,0.648257868959842
h0082,FR,s1996,wind,avaConv,0.708934318810616
h0083,FR,s1996,wind,avaConv,0.760372594119161
h0084,FR,s1996,wind,avaConv,0.771102015428678
h0085,FR,s1996,wind,avaConv,0.756854514057877
h0086,FR,s1996,wind,avaConv,0.732832623023762
