carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_balance
electricity,,5,1,3,3,eq
synthGas,,3,1,4,4,eq
h2,,3,1,4,4,eq
districtHeat,,4,2,4,4,eq
spaceHeat,,4,2,4,4,none
processHeat_low,,4,2,4,4,eq
processHeat_medium,,4,2,4,4,none
processHeat_high,,4,2,4,4,eq
capturedCO2,,2,1,4,4,eq
psngRoadPrvt,,3,2,3,3,none
psngRoadPub,,3,2,3,3,none
frtRoadLight,,3,2,3,3,none
frtRoadHeavy,,5,2,3,3,none
psngRail,,5,2,3,3,none
frtRail,,5,2,3,3,none
crudeOil,,2,1,2,2,eq
refinedOil,,2,1,2,2,eq
jetFuel,,2,1,2,2,eq
otherBiomass,solidBiomass,2,1,2,2,ineq
otherBiomass,nonSolidBiomass,2,1,2,2,ineq
rawBiogas,,2,1,2,2,eq
