region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0337,0.037172259672823546,scr1989,mustOut,psngRoadPrvt
AT,h0338,0.012486278754563356,scr1989,mustOut,psngRoadPrvt
AT,h0339,0.0007900463948233284,scr1989,mustOut,psngRoadPrvt
AT,h0340,0.002060294399451544,scr1989,mustOut,psngRoadPrvt
AT,h0341,0.0037241572780609073,scr1989,mustOut,psngRoadPrvt
AT,h0342,0.006776995699948592,scr1989,mustOut,psngRoadPrvt
AT,h0343,0.05204914507781132,scr1989,mustOut,psngRoadPrvt
AT,h0344,0.1179721641666129,scr1989,mustOut,psngRoadPrvt
AT,h0345,0.16540746000338416,scr1989,mustOut,psngRoadPrvt
AT,h0346,0.16444949492765518,scr1989,mustOut,psngRoadPrvt
AT,h0347,0.14380439898132005,scr1989,mustOut,psngRoadPrvt
AT,h0348,0.15761872547160177,scr1989,mustOut,psngRoadPrvt
AT,h0349,0.20526077092889486,scr1989,mustOut,psngRoadPrvt
AT,h0350,0.2585515325821681,scr1989,mustOut,psngRoadPrvt
AT,h0351,0.2920963347740223,scr1989,mustOut,psngRoadPrvt
AT,h0352,0.28983002315896006,scr1989,mustOut,psngRoadPrvt
AT,h0353,0.281700665505198,scr1989,mustOut,psngRoadPrvt
AT,h0354,0.2696270950789167,scr1989,mustOut,psngRoadPrvt
AT,h0355,0.2544700188787179,scr1989,mustOut,psngRoadPrvt
AT,h0356,0.21757818692798722,scr1989,mustOut,psngRoadPrvt
AT,h0357,0.16387826577025044,scr1989,mustOut,psngRoadPrvt
AT,h0358,0.11308434949603892,scr1989,mustOut,psngRoadPrvt
AT,h0359,0.08296494968648117,scr1989,mustOut,psngRoadPrvt
AT,h0360,0.06378703960139663,scr1989,mustOut,psngRoadPrvt
AT,h0361,0.037259172624742314,scr1989,mustOut,psngRoadPrvt
AT,h0362,0.012610044956384202,scr1989,mustOut,psngRoadPrvt
AT,h0363,0.0006019856732100998,scr1989,mustOut,psngRoadPrvt
AT,h0364,0.0016360483175151797,scr1989,mustOut,psngRoadPrvt
AT,h0365,0.0030824947771477076,scr1989,mustOut,psngRoadPrvt
AT,h0366,0.008636798009626922,scr1989,mustOut,psngRoadPrvt
AT,h0367,0.05418372984287173,scr1989,mustOut,psngRoadPrvt
AT,h0368,0.12034823577580264,scr1989,mustOut,psngRoadPrvt
AT,h0369,0.16540746000338416,scr1989,mustOut,psngRoadPrvt
AT,h0370,0.16444949492765518,scr1989,mustOut,psngRoadPrvt
AT,h0371,0.14380439898132005,scr1989,mustOut,psngRoadPrvt
AT,h0372,0.15761872547160177,scr1989,mustOut,psngRoadPrvt
AT,h0373,0.1731840782876291,scr1989,mustOut,psngRoadPrvt
AT,h0374,0.19688491111976716,scr1989,mustOut,psngRoadPrvt
AT,h0375,0.18864059258614138,scr1989,mustOut,psngRoadPrvt
AT,h0376,0.18602689094507227,scr1989,mustOut,psngRoadPrvt
AT,h0377,0.1960252073089646,scr1989,mustOut,psngRoadPrvt
AT,h0378,0.23615183488777133,scr1989,mustOut,psngRoadPrvt
AT,h0379,0.2537244537840553,scr1989,mustOut,psngRoadPrvt
AT,h0380,0.22812331440598402,scr1989,mustOut,psngRoadPrvt
AT,h0381,0.16387826577025044,scr1989,mustOut,psngRoadPrvt
AT,h0382,0.11308434949603892,scr1989,mustOut,psngRoadPrvt
AT,h0383,0.08296494968648117,scr1989,mustOut,psngRoadPrvt
AT,h0384,0.06378703960139663,scr1989,mustOut,psngRoadPrvt
AT,h0385,0.037214442884413015,scr1989,mustOut,psngRoadPrvt
AT,h0386,0.01258608617188541,scr1989,mustOut,psngRoadPrvt
AT,h0387,0.0003291232147917847,scr1989,mustOut,psngRoadPrvt
AT,h0388,0.0011183569056842295,scr1989,mustOut,psngRoadPrvt
AT,h0389,0.0037274716901094206,scr1989,mustOut,psngRoadPrvt
AT,h0390,0.016199629671247242,scr1989,mustOut,psngRoadPrvt
AT,h0391,0.06240834005040511,scr1989,mustOut,psngRoadPrvt
AT,h0392,0.1274285245825121,scr1989,mustOut,psngRoadPrvt
AT,h0393,0.16540746000338416,scr1989,mustOut,psngRoadPrvt
AT,h0394,0.16444949492765518,scr1989,mustOut,psngRoadPrvt
AT,h0395,0.14380439898132005,scr1989,mustOut,psngRoadPrvt
AT,h0396,0.15761872547160177,scr1989,mustOut,psngRoadPrvt
AT,h0397,0.1731840782876291,scr1989,mustOut,psngRoadPrvt
AT,h0398,0.19688491111976716,scr1989,mustOut,psngRoadPrvt
AT,h0399,0.18864059258614138,scr1989,mustOut,psngRoadPrvt
AT,h0400,0.18602689094507227,scr1989,mustOut,psngRoadPrvt
AT,h0401,0.1960252073089646,scr1989,mustOut,psngRoadPrvt
AT,h0402,0.23615183488777133,scr1989,mustOut,psngRoadPrvt
AT,h0403,0.25641731327753253,scr1989,mustOut,psngRoadPrvt
AT,h0404,0.23549712123480135,scr1989,mustOut,psngRoadPrvt
AT,h0405,0.18532751104102665,scr1989,mustOut,psngRoadPrvt
AT,h0406,0.14003554630718257,scr1989,mustOut,psngRoadPrvt
AT,h0407,0.10773939487564493,scr1989,mustOut,psngRoadPrvt
AT,h0408,0.07282287556876599,scr1989,mustOut,psngRoadPrvt
BE,h0337,0.037172259672823546,scr1989,mustOut,psngRoadPrvt
BE,h0338,0.012486278754563356,scr1989,mustOut,psngRoadPrvt
BE,h0339,0.0007900463948233284,scr1989,mustOut,psngRoadPrvt
BE,h0340,0.002060294399451544,scr1989,mustOut,psngRoadPrvt
BE,h0341,0.0037241572780609073,scr1989,mustOut,psngRoadPrvt
BE,h0342,0.006776995699948592,scr1989,mustOut,psngRoadPrvt
BE,h0343,0.05204914507781132,scr1989,mustOut,psngRoadPrvt
BE,h0344,0.1179721641666129,scr1989,mustOut,psngRoadPrvt
BE,h0345,0.16540746000338416,scr1989,mustOut,psngRoadPrvt
BE,h0346,0.16444949492765518,scr1989,mustOut,psngRoadPrvt
BE,h0347,0.14380439898132005,scr1989,mustOut,psngRoadPrvt
BE,h0348,0.15761872547160177,scr1989,mustOut,psngRoadPrvt
