scenario,timestep_3,parameter,value,comment
scr2012,ini01,scrProb,0.4,clustering
scr2007,ini01,scrProb,0.2857142857142857,clustering
scr1985,ini01,scrProb,0.3142857142857143,clustering
scr1987,ini01,scrProb,0.0,none
scr1988,ini01,scrProb,0.0,none
scr1990,ini01,scrProb,0.0,none
scr1991,ini01,scrProb,0.0,none
scr1994,ini01,scrProb,0.0,none
scr1995,ini01,scrProb,0.0,none
scr1998,ini01,scrProb,0.0,none
scr1999,ini01,scrProb,0.0,none
scr2000,ini01,scrProb,0.0,none
scr2001,ini01,scrProb,0.0,none
scr2004,ini01,scrProb,0.0,none
scr2005,ini01,scrProb,0.0,none
scr2006,ini01,scrProb,0.0,none
scr2009,ini01,scrProb,0.0,none
scr2010,ini01,scrProb,0.0,none
scr2011,ini01,scrProb,0.0,none
scr2014,ini01,scrProb,0.0,none
scr2016,ini01,scrProb,0.0,none
scr2006,ini02,scrProb,0.02857142857142857,extreme
scr1985,ini02,scrProb,0.34285714285714286,clustering
scr2005,ini02,scrProb,0.34285714285714286,clustering
scr1988,ini02,scrProb,0.2857142857142857,clustering
scr1987,ini02,scrProb,0.0,none
scr1990,ini02,scrProb,0.0,none
scr1991,ini02,scrProb,0.0,none
scr1994,ini02,scrProb,0.0,none
scr1995,ini02,scrProb,0.0,none
scr1998,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2000,ini02,scrProb,0.0,none
scr2001,ini02,scrProb,0.0,none
scr2004,ini02,scrProb,0.0,none
scr2007,ini02,scrProb,0.0,none
scr2009,ini02,scrProb,0.0,none
scr2010,ini02,scrProb,0.0,none
scr2011,ini02,scrProb,0.0,none
scr2012,ini02,scrProb,0.0,none
scr2014,ini02,scrProb,0.0,none
scr2016,ini02,scrProb,0.0,none
scr1994,ini03,scrProb,0.14285714285714285,clustering
scr2009,ini03,scrProb,0.4857142857142857,clustering
scr2011,ini03,scrProb,0.37142857142857144,clustering
scr1985,ini03,scrProb,0.0,none
scr1987,ini03,scrProb,0.0,none
scr1988,ini03,scrProb,0.0,none
scr1990,ini03,scrProb,0.0,none
scr1991,ini03,scrProb,0.0,none
scr1995,ini03,scrProb,0.0,none
scr1998,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2000,ini03,scrProb,0.0,none
scr2001,ini03,scrProb,0.0,none
scr2004,ini03,scrProb,0.0,none
scr2005,ini03,scrProb,0.0,none
scr2006,ini03,scrProb,0.0,none
scr2007,ini03,scrProb,0.0,none
scr2010,ini03,scrProb,0.0,none
scr2012,ini03,scrProb,0.0,none
