region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,AT,at,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,BE,be,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,BE,be,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,BG,bg,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,BG,bg,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,CZ,cz,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,CZ,cz,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,DE,de,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,DE,de,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,DK,dk_e,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,DK,dk_e,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,DK,dk_w,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,DK,dk_w,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,EE,ee,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,EE,ee,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,ES,es,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,ES,es,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,FI,fi,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,FI,fi,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,FR,fr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,FR,fr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,FR,fr_co,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,FR,fr_co,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,GR,gr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,GR,gr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,HR,hr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,HR,hr,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,HU,hu,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,HU,hu,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IE,ie,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IE,ie,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_cn,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_cn,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_cs,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_cs,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_n,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_n,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_s,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_s,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_sar,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_sar,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,IT,it_sic,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,IT,it_sic,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,LT,lt,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,LT,lt,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,LU,lu,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,LU,lu,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,LV,lv,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,LV,lv,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,NL,nl,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,NL,nl,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,PL,pl,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,PL,pl,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,PT,pt,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,PT,pt,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,RO,ro,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,RO,ro,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SE,se_1,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SE,se_1,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SE,se_2,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SE,se_2,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SE,se_3,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SE,se_3,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SE,se_4,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SE,se_4,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SI,si,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SI,si,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
EU,SK,sk,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
EU,SK,sk,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,AL,al,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,AL,al,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,BA,ba,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,BA,ba,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,CH,ch,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,CH,ch,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,ME,me,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,ME,me,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,MK,mk,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,MK,mk,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,NO,no_m,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,NO,no_m,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,NO,no_n,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,NO,no_n,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,NO,no_s,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
nonEU,NO,no_s,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,1,desFac,1.8511951
nonEU,RS,rs,frtRoadHeavy,transport,bev,bevFrtRoadHeavy,,desFac,1.8511951
