timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Balt < LT,Balt < LV,none,powerGrid < hvac,none,no,expExc,5.270844340747258,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LT,East < PL,none,powerGrid < hvac,none,no,expExc,3.5000483410116288,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < ME,SouthEast < RS,none,powerGrid < hvac,none,no,expExc,1.3688679514403834,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < MK,SouthEast < RS,none,powerGrid < hvac,none,no,expExc,2.9999335359297685,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < NO,Scan < SE,none,powerGrid < hvac,none,no,expExc,1.6141623402293472,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,East < SK,none,powerGrid < hvac,none,no,expExc,2.999993297290903,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RO,SouthEast < RS,none,powerGrid < hvac,none,no,expExc,3.3185437573314718,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < FI,Balt < EE,none,powerGrid < hvdc,none,yes,capaExc,5.994895813872424,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,DE_ < DE,none,powerGrid < hvdc,none,yes,capaExc,1.6849979417372385,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,FR_ < FR,none,powerGrid < hvdc,none,yes,capaExc,0.35,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,IT_ < IT,none,powerGrid < hvdc,none,yes,capaExc,0.3,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,yes,capaExc,1.6999979417372386,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,Scan < DK,none,powerGrid < hvdc,none,yes,capaExc,0.68,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,yes,capaExc,6.010895813872424,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,Scan < SE,none,powerGrid < hvdc,none,yes,capaExc,0.74,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,yes,capaExc,6.562359808439807,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,Scan < FI,none,powerGrid < hvdc,none,yes,capaExc,6.662359808439808,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,capaExc,3.6881789200123407,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,capaExc,4.099382526668053,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,capaExc,10.698546405725857,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,capaExc,4.399994054028261,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,capaExc,6.639997590303865,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,capaExc,0.9556117828253594,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,capaExc,3.5149995328906005,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,capaExc,3.598951377772597,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,capaExc,1.4982903040664743,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,capaExc,2.1999951914867633,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,capaExc,1.399998821244945,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,5.399996540953839,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,5.999998582970944,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,1.9938835583640273,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,8.199999177163487,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,4.477952114359051,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,capaExc,4.99999842491777,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < EE,Balt < LV,none,h2Grid,none,yes,capaExc,0.0010418358866174319,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LT,Balt < LV,none,h2Grid,none,yes,capaExc,0.006498686994945589,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < BE,Benelux < LU,none,h2Grid,none,yes,capaExc,0.11727722074131709,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < BE,Benelux < NL,none,h2Grid,none,yes,capaExc,0.001779720983842507,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < BE,DE_ < DE,none,h2Grid,none,yes,capaExc,0.0005747910465091965,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < LU,DE_ < DE,none,h2Grid,none,yes,capaExc,0.0006152107603178314,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < NL,DE_ < DE,none,h2Grid,none,yes,capaExc,0.0005339911161085823,noInter_all_total32_ext8_firmCapa
none,30th < 2040,CH_ < CH,DE_ < DE,none,h2Grid,none,yes,capaExc,0.00045245878243722345,noInter_all_total32_ext8_firmCapa
none,30th < 2040,CH_ < CH,East < AT,none,h2Grid,none,yes,capaExc,0.00030034700795993736,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,East < AT,none,h2Grid,none,yes,capaExc,0.0010476338679249462,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,East < CZ,none,h2Grid,none,yes,capaExc,0.0006648575238749182,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,East < CZ,none,h2Grid,none,yes,capaExc,0.0009152807551888624,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,East < HU,none,h2Grid,none,yes,capaExc,0.001092713633508254,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HR,East < HU,none,h2Grid,none,yes,capaExc,0.00047127235639444316,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LT,East < PL,none,h2Grid,none,yes,capaExc,0.00026918589220136223,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,East < PL,none,h2Grid,none,yes,capaExc,0.0004681212116021677,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < CZ,East < PL,none,h2Grid,none,yes,capaExc,0.000908847724571516,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,East < SI,none,h2Grid,none,yes,capaExc,0.0014265366249763668,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HR,East < SI,none,h2Grid,none,yes,capaExc,0.00113260032820591,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,East < SI,none,h2Grid,none,yes,capaExc,0.0009030442998893998,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,East < SK,none,h2Grid,none,yes,capaExc,0.0009009481666798733,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < CZ,East < SK,none,h2Grid,none,yes,capaExc,0.001751317015331659,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,East < SK,none,h2Grid,none,yes,capaExc,0.0012723461024906726,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,East < SK,none,h2Grid,none,yes,capaExc,1.2410259900853362,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < BE,FR_ < FR,none,h2Grid,none,yes,capaExc,0.00038608471165542277,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < LU,FR_ < FR,none,h2Grid,none,yes,capaExc,0.00034296206397892956,noInter_all_total32_ext8_firmCapa
none,30th < 2040,CH_ < CH,FR_ < FR,none,h2Grid,none,yes,capaExc,0.0004504734545866582,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,FR_ < FR,none,h2Grid,none,yes,capaExc,0.0003073933295078803,noInter_all_total32_ext8_firmCapa
none,30th < 2040,CH_ < CH,IT_ < IT,none,h2Grid,none,yes,capaExc,0.00034478460245320885,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,IT_ < IT,none,h2Grid,none,yes,capaExc,0.00019892959105956558,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SI,IT_ < IT,none,h2Grid,none,yes,capaExc,0.00019744066557801767,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,IT_ < IT,none,h2Grid,none,yes,capaExc,0.00031370967911062983,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,Iberia < ES,none,h2Grid,none,yes,capaExc,0.00022329498718250457,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Iberia < ES,Iberia < PT,none,h2Grid,none,yes,capaExc,0.0010141472292114113,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Scan < DK,none,h2Grid,none,yes,capaExc,0.0001665755444363916,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < EE,Scan < FI,none,h2Grid,none,yes,capaExc,0.00020273814716525196,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,Scan < NO,none,h2Grid,none,yes,capaExc,0.0008763429199471234,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < FI,Scan < NO,none,h2Grid,none,yes,capaExc,0.0009631294639449255,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,Scan < SE,none,h2Grid,none,yes,capaExc,0.0009885070381029034,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,Scan < SE,none,h2Grid,none,yes,capaExc,0.03454209037720872,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < FI,Scan < SE,none,h2Grid,none,yes,capaExc,0.012170356694554362,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < NO,Scan < SE,none,h2Grid,none,yes,capaExc,0.001176652469395095,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,SouthEast < AL,none,h2Grid,none,yes,capaExc,0.0008439512006342264,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HR,SouthEast < BA,none,h2Grid,none,yes,capaExc,0.00020478222237390497,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,SouthEast < BA,none,h2Grid,none,yes,capaExc,0.000773128978102065,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < AL,SouthEast < GR,none,h2Grid,none,yes,capaExc,0.0010337730806739991,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BG,SouthEast < GR,none,h2Grid,none,yes,capaExc,0.0004797858599025182,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < AL,SouthEast < ME,none,h2Grid,none,yes,capaExc,0.05030638024053466,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BA,SouthEast < ME,none,h2Grid,none,yes,capaExc,0.0016785350499977378,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < AL,SouthEast < MK,none,h2Grid,none,yes,capaExc,0.4956298806963088,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BG,SouthEast < MK,none,h2Grid,none,yes,capaExc,0.0008627778917038142,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < GR,SouthEast < MK,none,h2Grid,none,yes,capaExc,0.5600948430894948,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,SouthEast < RO,none,h2Grid,none,yes,capaExc,0.00024225575812854579,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BG,SouthEast < RO,none,h2Grid,none,yes,capaExc,0.0006476241776641939,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HR,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.00022148648574253117,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.00022369574025957395,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < AL,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.001496335743537715,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BA,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.0016246376646904738,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BG,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.0004742872156203921,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < ME,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.0011857018796536428,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < MK,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.0009685525036188188,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RO,SouthEast < RS,none,h2Grid,none,yes,capaExc,0.003058415161453033,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,UkPlus < UK,none,h2Grid,none,yes,capaExc,0.0002609625464572369,noInter_all_total32_ext8_firmCapa
none,30th < 2040,UkPlus < IE,UkPlus < UK,none,h2Grid,none,yes,capaExc,0.064531684955819,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LV,Balt < EE,none,h2Grid,none,yes,capaExc,0.0015692482075504248,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Balt < LV,Balt < LT,none,h2Grid,none,yes,capaExc,0.0010829186311021224,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < LU,Benelux < BE,none,h2Grid,none,yes,capaExc,0.0027527690868327888,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Benelux < NL,Benelux < BE,none,h2Grid,none,yes,capaExc,0.9915320931475677,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Benelux < BE,none,h2Grid,none,yes,capaExc,0.0012723618413691532,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Benelux < LU,none,h2Grid,none,yes,capaExc,0.00367330041297855,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,Benelux < NL,none,h2Grid,none,yes,capaExc,0.0006719123471531309,noInter_all_total32_ext8_firmCapa
none,30th < 2040,DE_ < DE,CH_ < CH,none,h2Grid,none,yes,capaExc,0.0013608774753577856,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,CH_ < CH,none,h2Grid,none,yes,capaExc,0.0002613962924837294,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < AT,DE_ < DE,none,h2Grid,none,yes,capaExc,0.000348504945439444,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < CZ,DE_ < DE,none,h2Grid,none,yes,capaExc,0.000415199009993104,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < CZ,East < AT,none,h2Grid,none,yes,capaExc,0.040679142069992784,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,East < AT,none,h2Grid,none,yes,capaExc,0.0012409653084670441,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < HU,East < HR,none,h2Grid,none,yes,capaExc,0.0007867019844301179,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,Balt < LT,none,h2Grid,none,yes,capaExc,0.0003157832168069369,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,DE_ < DE,none,h2Grid,none,yes,capaExc,0.0004367783999625674,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < PL,East < CZ,none,h2Grid,none,yes,capaExc,2.1832188397741774,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SI,East < AT,none,h2Grid,none,yes,capaExc,0.0010369431829592678,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SI,East < HR,none,h2Grid,none,yes,capaExc,0.001399266886839608,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SI,East < HU,none,h2Grid,none,yes,capaExc,0.0005390454655129039,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SK,East < AT,none,h2Grid,none,yes,capaExc,0.008695023962852032,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SK,East < CZ,none,h2Grid,none,yes,capaExc,0.0014512655498154802,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SK,East < HU,none,h2Grid,none,yes,capaExc,0.2785598781439403,noInter_all_total32_ext8_firmCapa
none,30th < 2040,East < SK,East < PL,none,h2Grid,none,yes,capaExc,0.0007655163445796842,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,Benelux < BE,none,h2Grid,none,yes,capaExc,0.0013264188016892636,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,Benelux < LU,none,h2Grid,none,yes,capaExc,0.0024611724563157605,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,CH_ < CH,none,h2Grid,none,yes,capaExc,5.6665898518696,noInter_all_total32_ext8_firmCapa
none,30th < 2040,FR_ < FR,DE_ < DE,none,h2Grid,none,yes,capaExc,0.0003480209462992592,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,CH_ < CH,none,h2Grid,none,yes,capaExc,0.0006865909836000775,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,East < AT,none,h2Grid,none,yes,capaExc,0.0003881658310788199,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,East < SI,none,h2Grid,none,yes,capaExc,0.000417757998526079,noInter_all_total32_ext8_firmCapa
none,30th < 2040,IT_ < IT,FR_ < FR,none,h2Grid,none,yes,capaExc,0.00023358592136829044,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Iberia < ES,FR_ < FR,none,h2Grid,none,yes,capaExc,0.00023522819792686308,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Iberia < PT,Iberia < ES,none,h2Grid,none,yes,capaExc,0.001581392595803529,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < DK,DE_ < DE,none,h2Grid,none,yes,capaExc,0.00013529344952790267,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < FI,Balt < EE,none,h2Grid,none,yes,capaExc,0.0003931170511696988,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < NO,Scan < DK,none,h2Grid,none,yes,capaExc,0.0010905618808415857,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < NO,Scan < FI,none,h2Grid,none,yes,capaExc,0.0007511456549194054,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,East < PL,none,h2Grid,none,yes,capaExc,0.0008417220263150224,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,Scan < DK,none,h2Grid,none,yes,capaExc,0.003923718579962789,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,Scan < FI,none,h2Grid,none,yes,capaExc,0.0009161314899848087,noInter_all_total32_ext8_firmCapa
none,30th < 2040,Scan < SE,Scan < NO,none,h2Grid,none,yes,capaExc,0.0006425028352234894,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < AL,IT_ < IT,none,h2Grid,none,yes,capaExc,3.268154521196409,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BA,East < HR,none,h2Grid,none,yes,capaExc,0.0003775108889012489,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < BA,IT_ < IT,none,h2Grid,none,yes,capaExc,0.0006758434337780431,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < GR,SouthEast < AL,none,h2Grid,none,yes,capaExc,0.0018167171428514946,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < GR,SouthEast < BG,none,h2Grid,none,yes,capaExc,0.0011977560551053258,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < ME,SouthEast < AL,none,h2Grid,none,yes,capaExc,0.0008878129078716887,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < ME,SouthEast < BA,none,h2Grid,none,yes,capaExc,0.0029798934688013384,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < MK,SouthEast < AL,none,h2Grid,none,yes,capaExc,0.0011561162605119497,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < MK,SouthEast < BG,none,h2Grid,none,yes,capaExc,0.0006626881068130476,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < MK,SouthEast < GR,none,h2Grid,none,yes,capaExc,0.000969471134535715,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RO,East < HU,none,h2Grid,none,yes,capaExc,0.0005693435781182513,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RO,SouthEast < BG,none,h2Grid,none,yes,capaExc,0.0012398857459532393,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,East < HR,none,h2Grid,none,yes,capaExc,0.0005250258358708701,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,East < HU,none,h2Grid,none,yes,capaExc,0.00036249465373897874,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < AL,none,h2Grid,none,yes,capaExc,0.0005362095453887175,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < BA,none,h2Grid,none,yes,capaExc,0.002388564865465206,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < BG,none,h2Grid,none,yes,capaExc,0.0004413553712763408,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < ME,none,h2Grid,none,yes,capaExc,0.001341050809777599,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < MK,none,h2Grid,none,yes,capaExc,0.000677459752700794,noInter_all_total32_ext8_firmCapa
none,30th < 2040,SouthEast < RS,SouthEast < RO,none,h2Grid,none,yes,capaExc,0.0007105920850995049,noInter_all_total32_ext8_firmCapa
none,30th < 2040,UkPlus < UK,FR_ < FR,none,h2Grid,none,yes,capaExc,0.00030117027617425704,noInter_all_total32_ext8_firmCapa
