scenario,timestep_3,parameter,value,comment
scr1990,ini01,scrProb,0.02857142857142857,extreme
scr1985,ini01,scrProb,0.02857142857142857,extreme
scr2008,ini01,scrProb,0.02857142857142857,extreme
scr1999,ini01,scrProb,0.9142857142857143,clustering
scr1987,ini01,scrProb,0.0,none
scr1988,ini01,scrProb,0.0,none
scr1989,ini01,scrProb,0.0,none
scr1991,ini01,scrProb,0.0,none
scr1992,ini01,scrProb,0.0,none
scr1997,ini01,scrProb,0.0,none
scr2000,ini01,scrProb,0.0,none
scr2002,ini01,scrProb,0.0,none
scr2004,ini01,scrProb,0.0,none
scr2006,ini01,scrProb,0.0,none
scr2007,ini01,scrProb,0.0,none
scr2010,ini01,scrProb,0.0,none
scr2012,ini01,scrProb,0.0,none
scr2015,ini01,scrProb,0.0,none
scr2006,ini02,scrProb,0.02857142857142857,extreme
scr1991,ini02,scrProb,0.02857142857142857,extreme
scr1992,ini02,scrProb,0.02857142857142857,extreme
scr2007,ini02,scrProb,0.9142857142857143,clustering
scr1985,ini02,scrProb,0.0,none
scr1987,ini02,scrProb,0.0,none
scr1988,ini02,scrProb,0.0,none
scr1989,ini02,scrProb,0.0,none
scr1990,ini02,scrProb,0.0,none
scr1997,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2000,ini02,scrProb,0.0,none
scr2002,ini02,scrProb,0.0,none
scr2004,ini02,scrProb,0.0,none
scr2008,ini02,scrProb,0.0,none
scr2010,ini02,scrProb,0.0,none
scr2012,ini02,scrProb,0.0,none
scr2015,ini02,scrProb,0.0,none
scr1997,ini03,scrProb,1.0,clustering
scr1985,ini03,scrProb,0.0,none
scr1987,ini03,scrProb,0.0,none
scr1988,ini03,scrProb,0.0,none
scr1989,ini03,scrProb,0.0,none
scr1990,ini03,scrProb,0.0,none
scr1991,ini03,scrProb,0.0,none
scr1992,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2000,ini03,scrProb,0.0,none
scr2002,ini03,scrProb,0.0,none
scr2004,ini03,scrProb,0.0,none
scr2006,ini03,scrProb,0.0,none
scr2007,ini03,scrProb,0.0,none
scr2008,ini03,scrProb,0.0,none
scr2010,ini03,scrProb,0.0,none
scr2012,ini03,scrProb,0.0,none
scr2015,ini03,scrProb,0.0,none
scr2000,ini04,scrProb,0.02857142857142857,extreme
scr2002,ini04,scrProb,0.02857142857142857,extreme
scr2010,ini04,scrProb,0.9428571428571428,clustering
scr1985,ini04,scrProb,0.0,none
scr1987,ini04,scrProb,0.0,none
scr1988,ini04,scrProb,0.0,none
scr1989,ini04,scrProb,0.0,none
scr1990,ini04,scrProb,0.0,none
scr1991,ini04,scrProb,0.0,none
scr1992,ini04,scrProb,0.0,none
scr1997,ini04,scrProb,0.0,none
scr1999,ini04,scrProb,0.0,none
scr2004,ini04,scrProb,0.0,none
scr2006,ini04,scrProb,0.0,none
scr2007,ini04,scrProb,0.0,none
scr2008,ini04,scrProb,0.0,none
scr2012,ini04,scrProb,0.0,none
scr2015,ini04,scrProb,0.0,none
scr2010,ini05,scrProb,1.0,clustering
scr1985,ini05,scrProb,0.0,none
scr1987,ini05,scrProb,0.0,none
scr1988,ini05,scrProb,0.0,none
scr1989,ini05,scrProb,0.0,none
scr1990,ini05,scrProb,0.0,none
scr1991,ini05,scrProb,0.0,none
scr1992,ini05,scrProb,0.0,none
scr1997,ini05,scrProb,0.0,none
scr1999,ini05,scrProb,0.0,none
scr2000,ini05,scrProb,0.0,none
scr2002,ini05,scrProb,0.0,none
scr2004,ini05,scrProb,0.0,none
scr2006,ini05,scrProb,0.0,none
scr2007,ini05,scrProb,0.0,none
scr2008,ini05,scrProb,0.0,none
scr2012,ini05,scrProb,0.0,none
scr2015,ini05,scrProb,0.0,none
scr2015,ini06,scrProb,1.0,clustering
scr1985,ini06,scrProb,0.0,none
scr1987,ini06,scrProb,0.0,none
scr1988,ini06,scrProb,0.0,none
scr1989,ini06,scrProb,0.0,none
scr1990,ini06,scrProb,0.0,none
scr1991,ini06,scrProb,0.0,none
scr1992,ini06,scrProb,0.0,none
scr1997,ini06,scrProb,0.0,none
scr1999,ini06,scrProb,0.0,none
scr2000,ini06,scrProb,0.0,none
scr2002,ini06,scrProb,0.0,none
scr2004,ini06,scrProb,0.0,none
scr2006,ini06,scrProb,0.0,none
scr2007,ini06,scrProb,0.0,none
scr2008,ini06,scrProb,0.0,none
scr2010,ini06,scrProb,0.0,none
scr2012,ini06,scrProb,0.0,none
scr1988,ini07,scrProb,0.02857142857142857,extreme
scr2012,ini07,scrProb,0.9714285714285714,clustering
scr1985,ini07,scrProb,0.0,none
scr1987,ini07,scrProb,0.0,none
scr1989,ini07,scrProb,0.0,none
scr1990,ini07,scrProb,0.0,none
