timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProLow potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,02ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,03ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,04ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,05ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,06ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,07ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,08ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,09ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,10ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,11ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,12PT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2759,,,,,,,,,,,,,,,,,,,,
all,13PT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1839,,,,,,,,,,,,,,,,,,,,
all,14FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,15FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,16FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,17FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,18FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,19FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,20FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,21FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,22FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1226,,,,,,,,,,,,,,,,,,,,
all,24FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,25FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,26FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,27FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,28BE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.6775,,,,,,,,,,,,,,,,,,,,
all,29LU,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,30NL,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.4915,,,,,,,,,,,,,,,,,,,,
all,31DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.858,,,,,,,,,,,,,,,,,,,,
all,32DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4205,,,,,,,,,,,,,,,,,,,,
all,33DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.4967,,,,,,,,,,,,,,,,,,,,
all,34DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.6,,,,,,,,,,,,,,,,,,,,
all,35DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.1896,,,,,,,,,,,,,,,,,,,,
all,36DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.1152,,,,,,,,,,,,,,,,,,,,
all,37DE,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.2574,,,,,,,,,,,,,,,,,,,,
all,38DK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1158,,,,,,,,,,,,,,,,,,,,
all,39CZ,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4804,,,,,,,,,,,,,,,,,,,,
all,40CZ,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4153,,,,,,,,,,,,,,,,,,,,
all,41PL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2463,,,,,,,,,,,,,,,,,,,,
all,42PL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.143,,,,,,,,,,,,,,,,,,,,
all,43PL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2307,,,,,,,,,,,,,,,,,,,,
all,44PL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2287,,,,,,,,,,,,,,,,,,,,
all,45PL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1462,,,,,,,,,,,,,,,,,,,,
all,46SK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2315,,,,,,,,,,,,,,,,,,,,
all,47CH,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2021,,,,,,,,,,,,,,,,,,,,
all,48CH,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,49AT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.126,,,,,,,,,,,,,,,,,,,,
all,50AT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2226,,,,,,,,,,,,,,,,,,,,
all,51AT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1621,,,,,,,,,,,,,,,,,,,,
all,52IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,1.9066,,,,,,,,,,,,,,,,,,,,
all,53IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.3557,,,,,,,,,,,,,,,,,,,,
all,54IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.6666,,,,,,,,,,,,,,,,,,,,
all,55IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2552,,,,,,,,,,,,,,,,,,,,
all,56IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1788,,,,,,,,,,,,,,,,,,,,
all,57SI,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0885,,,,,,,,,,,,,,,,,,,,
all,58HU,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4382,,,,,,,,,,,,,,,,,,,,
all,59RO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1321,,,,,,,,,,,,,,,,,,,,
all,60RO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.2052,,,,,,,,,,,,,,,,,,,,
all,61RO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0913,,,,,,,,,,,,,,,,,,,,
all,62HR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0782,,,,,,,,,,,,,,,,,,,,
all,63BA,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,64ME,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,65RS,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,66BG,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.7012,,,,,,,,,,,,,,,,,,,,
all,67MK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,68GR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,72DK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,73EE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0573,,,,,,,,,,,,,,,,,,,,
all,74FI,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1811,,,,,,,,,,,,,,,,,,,,
all,75FI,networkHeat,heatGrid,districtHeatPro,capaConvUp,2.2773,,,,,,,,,,,,,,,,,,,,
all,77LT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.294,,,,,,,,,,,,,,,,,,,,
all,78LV,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,80NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
