timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,22FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,24FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,25FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,26FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,FR,fr,27FR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,GR,gr,68GR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,GR,gr,69GR,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,HU,hu,58HU,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,IE,ie,96IE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,IT,it_s,55IT,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,LV,lv,78LV,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,NL,nl,30NL,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,41PL,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,PL,pl,45PL,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,RO,ro,59RO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,SE,se_1,86SE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,SE,se_2,87SE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,EU,SE,se_3,88SE,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,AL,al,70AL,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,ME,me,64ME,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,67MK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,83NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,85NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,79NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,81NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,82NO,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,65RS,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,95UK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,92UK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,93UK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,94UK,solar,openspace_a,pvOpenspace_a,capaConvFix,0.0
