timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,BG,bg,66BG,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,32DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,34DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,35DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,36DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DE,de,37DE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DK,dk_e,72DK,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,07ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FI,fi,74FI,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,14FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,15FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,16FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,17FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,19FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
30th,2040,,EU,FR,fr,21FR,ccgt,ccgtProMed,ccgtGasBackProMed,capaConvFix,0.0
