scenario,timestep_3,parameter,value,comment
scr1990,ini01,scrProb,0.02857142857142857,extreme
scr1999,ini01,scrProb,0.9714285714285714,clustering
scr1983,ini01,scrProb,0.0,none
scr1985,ini01,scrProb,0.0,none
scr1986,ini01,scrProb,0.0,none
scr1987,ini01,scrProb,0.0,none
scr1991,ini01,scrProb,0.0,none
scr1998,ini01,scrProb,0.0,none
scr2005,ini01,scrProb,0.0,none
scr2006,ini01,scrProb,0.0,none
scr2009,ini01,scrProb,0.0,none
scr2016,ini01,scrProb,0.0,none
scr2006,ini02,scrProb,0.02857142857142857,extreme
scr1991,ini02,scrProb,0.02857142857142857,extreme
scr1983,ini02,scrProb,0.9428571428571428,clustering
scr1985,ini02,scrProb,0.0,none
scr1986,ini02,scrProb,0.0,none
scr1987,ini02,scrProb,0.0,none
scr1990,ini02,scrProb,0.0,none
scr1998,ini02,scrProb,0.0,none
scr1999,ini02,scrProb,0.0,none
scr2005,ini02,scrProb,0.0,none
scr2009,ini02,scrProb,0.0,none
scr2016,ini02,scrProb,0.0,none
scr2009,ini03,scrProb,1.0,clustering
scr1983,ini03,scrProb,0.0,none
scr1985,ini03,scrProb,0.0,none
scr1986,ini03,scrProb,0.0,none
scr1987,ini03,scrProb,0.0,none
scr1990,ini03,scrProb,0.0,none
scr1991,ini03,scrProb,0.0,none
scr1998,ini03,scrProb,0.0,none
scr1999,ini03,scrProb,0.0,none
scr2005,ini03,scrProb,0.0,none
scr2006,ini03,scrProb,0.0,none
scr2016,ini03,scrProb,0.0,none
scr2005,ini04,scrProb,1.0,clustering
scr1983,ini04,scrProb,0.0,none
scr1985,ini04,scrProb,0.0,none
scr1986,ini04,scrProb,0.0,none
scr1987,ini04,scrProb,0.0,none
scr1990,ini04,scrProb,0.0,none
scr1991,ini04,scrProb,0.0,none
scr1998,ini04,scrProb,0.0,none
scr1999,ini04,scrProb,0.0,none
scr2006,ini04,scrProb,0.0,none
scr2009,ini04,scrProb,0.0,none
scr2016,ini04,scrProb,0.0,none
scr2016,ini05,scrProb,1.0,clustering
scr1983,ini05,scrProb,0.0,none
scr1985,ini05,scrProb,0.0,none
scr1986,ini05,scrProb,0.0,none
scr1987,ini05,scrProb,0.0,none
scr1990,ini05,scrProb,0.0,none
scr1991,ini05,scrProb,0.0,none
scr1998,ini05,scrProb,0.0,none
scr1999,ini05,scrProb,0.0,none
scr2005,ini05,scrProb,0.0,none
scr2006,ini05,scrProb,0.0,none
scr2009,ini05,scrProb,0.0,none
scr1998,ini06,scrProb,1.0,clustering
scr1983,ini06,scrProb,0.0,none
scr1985,ini06,scrProb,0.0,none
scr1986,ini06,scrProb,0.0,none
scr1987,ini06,scrProb,0.0,none
scr1990,ini06,scrProb,0.0,none
scr1991,ini06,scrProb,0.0,none
scr1999,ini06,scrProb,0.0,none
scr2005,ini06,scrProb,0.0,none
scr2006,ini06,scrProb,0.0,none
scr2009,ini06,scrProb,0.0,none
scr2016,ini06,scrProb,0.0,none
scr1999,ini07,scrProb,1.0,clustering
scr1983,ini07,scrProb,0.0,none
scr1985,ini07,scrProb,0.0,none
scr1986,ini07,scrProb,0.0,none
scr1987,ini07,scrProb,0.0,none
scr1990,ini07,scrProb,0.0,none
scr1991,ini07,scrProb,0.0,none
scr1998,ini07,scrProb,0.0,none
scr2005,ini07,scrProb,0.0,none
scr2006,ini07,scrProb,0.0,none
scr2009,ini07,scrProb,0.0,none
scr2016,ini07,scrProb,0.0,none
scr1986,ini08,scrProb,1.0,clustering
scr1983,ini08,scrProb,0.0,none
scr1985,ini08,scrProb,0.0,none
scr1987,ini08,scrProb,0.0,none
scr1990,ini08,scrProb,0.0,none
scr1991,ini08,scrProb,0.0,none
