timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,BE,s2016,electricity,dem,9.59981151003736
h0002,BE,s2016,electricity,dem,9.23684997157583
h0003,BE,s2016,electricity,dem,9.0247524441033
h0004,BE,s2016,electricity,dem,9.00697359794945
h0005,BE,s2016,electricity,dem,9.31719612542198
h0006,BE,s2016,electricity,dem,10.1359804660813
h0007,BE,s2016,electricity,dem,10.8149145320154
h0008,BE,s2016,electricity,dem,11.2114447517956
h0009,BE,s2016,electricity,dem,11.4628609605868
h0010,BE,s2016,electricity,dem,11.5824159056418
h0011,BE,s2016,electricity,dem,11.695902169378
h0012,BE,s2016,electricity,dem,11.5282263452022
h0013,BE,s2016,electricity,dem,11.4355340375099
h0014,BE,s2016,electricity,dem,11.2793527188286
h0015,BE,s2016,electricity,dem,11.2322126089385
h0016,BE,s2016,electricity,dem,11.2853760704769
h0017,BE,s2016,electricity,dem,11.755332114433
h0018,BE,s2016,electricity,dem,11.9828568397077
h0019,BE,s2016,electricity,dem,11.6173939276198
h0020,BE,s2016,electricity,dem,11.0944268946527
h0021,BE,s2016,electricity,dem,10.5665656309165
h0022,BE,s2016,electricity,dem,10.6784007957516
h0023,BE,s2016,electricity,dem,10.6408485979494
h0024,BE,s2016,electricity,dem,10.0638005210264
h0025,BE,s2016,electricity,dem,8.48784580885736
h0026,BE,s2016,electricity,dem,8.12488427039583
h0027,BE,s2016,electricity,dem,7.9127867429233
h0028,BE,s2016,electricity,dem,7.89500789676945
h0029,BE,s2016,electricity,dem,8.20523042424198
h0030,BE,s2016,electricity,dem,9.02401476490131
h0031,BE,s2016,electricity,dem,9.70294883083538
h0032,BE,s2016,electricity,dem,10.0994790506156
h0033,BE,s2016,electricity,dem,10.3508952594068
h0034,BE,s2016,electricity,dem,10.4704502044618
h0035,BE,s2016,electricity,dem,10.583936468198
h0036,BE,s2016,electricity,dem,10.4162606440222
h0037,BE,s2016,electricity,dem,10.3235683363299
h0038,BE,s2016,electricity,dem,10.1673870176486
h0039,BE,s2016,electricity,dem,10.1202469077585
h0040,BE,s2016,electricity,dem,10.1734103692969
h0041,BE,s2016,electricity,dem,10.643366413253
h0042,BE,s2016,electricity,dem,10.8708911385277
h0043,BE,s2016,electricity,dem,10.5054282264398
h0044,BE,s2016,electricity,dem,9.98246119347274
h0045,BE,s2016,electricity,dem,9.45459992973648
h0046,BE,s2016,electricity,dem,9.56643509457165
h0047,BE,s2016,electricity,dem,9.52888289676945
h0048,BE,s2016,electricity,dem,8.95183481984637
h0049,BE,s2016,electricity,dem,8.23995820805736
h0050,BE,s2016,electricity,dem,7.87699666959583
h0051,BE,s2016,electricity,dem,7.6648991421233
h0052,BE,s2016,electricity,dem,7.64712029596945
h0053,BE,s2016,electricity,dem,7.95734282344198
h0054,BE,s2016,electricity,dem,8.77612716410132
h0055,BE,s2016,electricity,dem,9.45506123003538
h0056,BE,s2016,electricity,dem,9.8515914498156
h0057,BE,s2016,electricity,dem,10.1030076586068
h0058,BE,s2016,electricity,dem,10.2225626036618
h0059,BE,s2016,electricity,dem,10.336048867398
h0060,BE,s2016,electricity,dem,10.1683730432222
h0061,BE,s2016,electricity,dem,10.0756807355299
h0062,BE,s2016,electricity,dem,9.91949941684857
h0063,BE,s2016,electricity,dem,9.87235930695846
h0064,BE,s2016,electricity,dem,9.92552276849693
h0065,BE,s2016,electricity,dem,10.395478812453
h0066,BE,s2016,electricity,dem,10.6230035377277
h0067,BE,s2016,electricity,dem,10.2575406256398
h0068,BE,s2016,electricity,dem,9.73457359267274
h0069,BE,s2016,electricity,dem,9.20671232893648
h0070,BE,s2016,electricity,dem,9.31854749377165
h0071,BE,s2016,electricity,dem,9.28099529596945
h0072,BE,s2016,electricity,dem,8.70394721904637
h0073,BE,s2016,electricity,dem,9.50289591863736
h0074,BE,s2016,electricity,dem,9.13993438017583
h0075,BE,s2016,electricity,dem,8.9278368527033
h0076,BE,s2016,electricity,dem,8.91005800654945
h0077,BE,s2016,electricity,dem,9.22028053402198
h0078,BE,s2016,electricity,dem,10.0390648746813
h0079,BE,s2016,electricity,dem,10.7179989406154
h0080,BE,s2016,electricity,dem,11.1145291603956
h0081,BE,s2016,electricity,dem,11.3659453691868
h0082,BE,s2016,electricity,dem,11.4855003142418
h0083,BE,s2016,electricity,dem,11.598986577978
h0084,BE,s2016,electricity,dem,11.4313107538022
h0085,BE,s2016,electricity,dem,11.3386184461099
h0086,BE,s2016,electricity,dem,11.1824371274286
h0087,BE,s2016,electricity,dem,11.1352970175385
h0088,BE,s2016,electricity,dem,11.1884604790769
h0089,BE,s2016,electricity,dem,11.658416523033
h0090,BE,s2016,electricity,dem,11.8859412483077
h0091,BE,s2016,electricity,dem,11.5204783362198
h0092,BE,s2016,electricity,dem,10.9975113032527
h0093,BE,s2016,electricity,dem,10.4696500395165
h0094,BE,s2016,electricity,dem,10.5814852043516
h0095,BE,s2016,electricity,dem,10.5439330065495
h0096,BE,s2016,electricity,dem,9.96688492962637
