timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,NL,s2009,electricity,dem,11.8860068348901
h0002,NL,s2009,electricity,dem,11.5635507909341
h0003,NL,s2009,electricity,dem,11.4369367799451
h0004,NL,s2009,electricity,dem,11.4790631535714
h0005,NL,s2009,electricity,dem,11.8782554612637
h0006,NL,s2009,electricity,dem,13.0502554612637
h0007,NL,s2009,electricity,dem,14.856138703022
h0008,NL,s2009,electricity,dem,16.1199711206044
h0009,NL,s2009,electricity,dem,16.7157211206044
h0010,NL,s2009,electricity,dem,16.9006702964286
h0011,NL,s2009,electricity,dem,16.9070466700549
h0012,NL,s2009,electricity,dem,16.7488873293956
h0013,NL,s2009,electricity,dem,16.7066414502747
h0014,NL,s2009,electricity,dem,16.6203159008242
h0015,NL,s2009,electricity,dem,16.6132719447802
h0016,NL,s2009,electricity,dem,16.9403804612637
h0017,NL,s2009,electricity,dem,17.7121510656594
h0018,NL,s2009,electricity,dem,17.4387376041209
h0019,NL,s2009,electricity,dem,16.9169285381868
h0020,NL,s2009,electricity,dem,16.1409573843407
h0021,NL,s2009,electricity,dem,15.1996538129121
h0022,NL,s2009,electricity,dem,14.1847925491758
h0023,NL,s2009,electricity,dem,13.2606043623626
h0024,NL,s2009,electricity,dem,12.4483626041209
h0025,NL,s2009,electricity,dem,11.6369622930901
h0026,NL,s2009,electricity,dem,11.3145062491341
h0027,NL,s2009,electricity,dem,11.1878922381451
h0028,NL,s2009,electricity,dem,11.2300186117714
h0029,NL,s2009,electricity,dem,11.6292109194637
h0030,NL,s2009,electricity,dem,12.8012109194637
h0031,NL,s2009,electricity,dem,14.607094161222
h0032,NL,s2009,electricity,dem,15.8709265788044
h0033,NL,s2009,electricity,dem,16.4666765788044
h0034,NL,s2009,electricity,dem,16.6516257546286
h0035,NL,s2009,electricity,dem,16.658002128255
h0036,NL,s2009,electricity,dem,16.4998427875956
h0037,NL,s2009,electricity,dem,16.4575969084747
h0038,NL,s2009,electricity,dem,16.3712713590242
h0039,NL,s2009,electricity,dem,16.3642274029802
h0040,NL,s2009,electricity,dem,16.6913359194637
h0041,NL,s2009,electricity,dem,17.4631065238593
h0042,NL,s2009,electricity,dem,17.1896930623209
h0043,NL,s2009,electricity,dem,16.6678839963868
h0044,NL,s2009,electricity,dem,15.8919128425407
h0045,NL,s2009,electricity,dem,14.9506092711121
h0046,NL,s2009,electricity,dem,13.9357480073758
h0047,NL,s2009,electricity,dem,13.0115598205626
h0048,NL,s2009,electricity,dem,12.1993180623209
h0049,NL,s2009,electricity,dem,10.1880741037901
h0050,NL,s2009,electricity,dem,9.86561805983407
h0051,NL,s2009,electricity,dem,9.73900404884506
h0052,NL,s2009,electricity,dem,9.78113042247143
h0053,NL,s2009,electricity,dem,10.1803227301637
h0054,NL,s2009,electricity,dem,11.3523227301637
h0055,NL,s2009,electricity,dem,13.158205971922
h0056,NL,s2009,electricity,dem,14.4220383895044
h0057,NL,s2009,electricity,dem,15.0177883895044
h0058,NL,s2009,electricity,dem,15.2027375653286
h0059,NL,s2009,electricity,dem,15.2091139389549
h0060,NL,s2009,electricity,dem,15.0509545982956
h0061,NL,s2009,electricity,dem,15.0087087191747
h0062,NL,s2009,electricity,dem,14.9223831697242
h0063,NL,s2009,electricity,dem,14.9153392136802
h0064,NL,s2009,electricity,dem,15.2424477301637
h0065,NL,s2009,electricity,dem,16.0142183345593
h0066,NL,s2009,electricity,dem,15.7408048730209
h0067,NL,s2009,electricity,dem,15.2189958070868
h0068,NL,s2009,electricity,dem,14.4430246532407
h0069,NL,s2009,electricity,dem,13.5017210818121
h0070,NL,s2009,electricity,dem,12.4868598180758
h0071,NL,s2009,electricity,dem,11.5626716312626
h0072,NL,s2009,electricity,dem,10.7504298730209
h0073,NL,s2009,electricity,dem,9.11263361679011
h0074,NL,s2009,electricity,dem,8.79017757283407
h0075,NL,s2009,electricity,dem,8.66356356184506
h0076,NL,s2009,electricity,dem,8.70568993547144
h0077,NL,s2009,electricity,dem,9.10488224316374
h0078,NL,s2009,electricity,dem,10.2768822431637
h0079,NL,s2009,electricity,dem,12.082765484922
h0080,NL,s2009,electricity,dem,13.3465979025044
h0081,NL,s2009,electricity,dem,13.9423479025044
h0082,NL,s2009,electricity,dem,14.1272970783286
h0083,NL,s2009,electricity,dem,14.133673451955
h0084,NL,s2009,electricity,dem,13.9755141112956
h0085,NL,s2009,electricity,dem,13.9332682321747
h0086,NL,s2009,electricity,dem,13.8469426827242
h0087,NL,s2009,electricity,dem,13.8398987266802
h0088,NL,s2009,electricity,dem,14.1670072431637
h0089,NL,s2009,electricity,dem,14.9387778475593
h0090,NL,s2009,electricity,dem,14.6653643860209
h0091,NL,s2009,electricity,dem,14.1435553200868
h0092,NL,s2009,electricity,dem,13.3675841662407
h0093,NL,s2009,electricity,dem,12.4262805948121
h0094,NL,s2009,electricity,dem,11.4114193310758
h0095,NL,s2009,electricity,dem,10.4872311442626
h0096,NL,s2009,electricity,dem,9.67498938602087
